Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,12.220258134000687,None,1,8.312906248999752,12.220258134000687,None,,,,,,,,,,,,,,,,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
,,,,,,,,,,,20.553569998000057,None,5,29.8156063309998,20.553569998000057,None,,,,,,,,,,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
hairstylist,0,0,0,37,,,,,,,,,,,,,51.38670002900017,None,50.40062644400041,51.403794360000575,56.38603790700017,None,None,56.38603790700017,None,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
platypus,0,1,1,35,,,,,,,,,,,,,62.38606428200001,61.386829421000584,61.386829421000584,62.38606428200001,67.38641667700085,61.386829421000584,None,67.38641667700085,61.386829421000584,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
walrus,0,2,2,25,,,,,,,,,,,,,73.38645846200052,72.38619018300051,72.38619018300051,73.38645846200052,78.38655201000074,72.38619018300051,None,78.38655201000074,72.38619018300051,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
violinist,0,3,3,39,,,,,,,,,,,,,84.36973954700079,83.38684164200004,83.38684164200004,84.38655720000042,89.36959126700003,83.38684164200004,None,89.36959126700003,83.38684164200004,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
porcupine,0,4,4,22,,,,,,,,,,,,,95.35399930700078,94.36922467600016,94.36922467600016,95.37050371000078,100.35401227000057,94.36922467600016,None,100.35401227000057,94.36922467600016,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
snowball,0,5,5,14,,,,,,,,,,,,,106.3537563230002,105.35344963200077,105.35344963200077,106.3537563230002,111.35377278000033,105.35344963200077,None,111.35377278000033,105.35344963200077,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
umbrella,0,6,6,5,,,,,,,,,,,,,117.35386308000034,116.35284994100039,116.35284994100039,117.35386308000034,122.33708061400012,127.33707394500016,None,122.33708061400012,127.33707394500016,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
waterfall,0,7,7,18,,,,,,,,,,,,,128.33711857800063,127.35302362000039,127.35302362000039,128.35391347800032,133.33681044700006,None,None,133.33681044700006,None,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
ladybug,0,8,8,30,,,,,,,,,,,,,139.32024767300027,138.33691812300003,138.33691812300003,139.33665341400047,144.31990140300059,138.33691812300003,None,144.31990140300059,138.33691812300003,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
scalpel,0,9,9,19,,,,,,,,,,,,,150.31649345200003,160.3161440820004,149.3328536930003,150.33669605400064,155.31988108500082,149.3328536930003,None,155.31988108500082,149.3328536930003,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
swan,0,10,10,29,,,,,,,,,,,,,161.33297925400075,None,160.33278285400047,161.33297925400075,166.316152288,171.31604808500015,None,166.316152288,171.31604808500015,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
bulldozer,0,11,11,17,,,,,,,,,,,,,172.31613124600062,182.31552585999998,171.33209008000085,172.3326134300005,177.3318700310001,None,None,177.3318700310001,None,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
microscope,0,12,12,6,,,,,,,,,,,,,183.3199287870002,None,182.33219255400036,183.3367617470003,188.31588175700017,193.31582198500018,None,188.31588175700017,193.31582198500018,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
keyboard,0,13,13,15,,,,,,,,,,,,,194.3204870790005,193.3317175130005,193.3317175130005,194.33727680600077,199.3205185500001,None,None,199.3205185500001,None,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
chipmunk,0,14,14,26,,,,,,,,,,,,,205.30337279000014,204.31958270500036,204.31958270500036,205.320600516,210.30456166400018,204.31958270500036,None,210.30456166400018,204.31958270500036,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
stove,0,15,15,13,,,,,,,,,,,,,216.30389359400033,215.3154566180001,215.3154566180001,216.3200393420002,221.28660846399998,226.29880411000067,None,221.28660846399998,226.29880411000067,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
