Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,8.965671291000035,None,1,4.147336351998092,8.965671291000035,None,,,,,,,,,,,,,,,,,,,subj002,002,2021_Dec_01_1718,item_20(VR),3.2.3,60.241912846970656,
,,,,,,,,,,,13.132856027001253,None,5,18.778335119000985,13.132856027001253,None,,,,,,,,,,,,,subj002,002,2021_Dec_01_1718,item_20(VR),3.2.3,60.241912846970656,
hair,0,0,0,14,,,,,,,,,,,,,32.92149992999839,None,31.93251136500112,32.93836477500008,37.91676085799918,42.921714656000404,2,0.9074494170017715,37.91676085799918,42.921714656000404,,,subj002,002,2021_Dec_01_1718,item_20(VR),3.2.3,60.241912846970656,
ketchup,0,1,1,11,,,,,,,,,,,,,43.916814650998276,53.9172515120008,42.93845702700128,43.9548540729993,48.93396207600017,None,2,0.8741533100001107,48.93396207600017,None,,,subj002,002,2021_Dec_01_1718,item_20(VR),3.2.3,60.241912846970656,
microscope,0,2,2,13,,,,,,,,,,,,,54.93329901499965,None,53.933014989001094,54.93329901499965,59.92149835500095,None,2,1.0276268310008163,59.92149835500095,None,,,subj002,002,2021_Dec_01_1718,item_20(VR),3.2.3,60.241912846970656,
leopard,0,3,3,2,,,,,,,,,,,,,65.91657508099888,64.93767243199909,64.93767243199909,65.94948936299988,70.91646731799847,64.93767243199909,1,1.32355429800009,70.91646731799847,64.93767243199909,,,subj002,002,2021_Dec_01_1718,item_20(VR),3.2.3,60.241912846970656,
passport,0,4,4,12,,,,,,,,,,,,,76.90079488799893,75.91695974599861,75.91695974599861,76.91681281300043,81.90006008199998,75.91695974599861,2,1.0910441099986201,81.90006008199998,75.91695974599861,,,subj002,002,2021_Dec_01_1718,item_20(VR),3.2.3,60.241912846970656,
cabdriver,0,5,5,8,,,,,,,,,,,,,87.90017092099879,97.90458260499872,86.89937810799893,87.90017092099879,92.93662074800159,86.89937810799893,1,1.387500735996582,92.93662074800159,86.89937810799893,,,subj002,002,2021_Dec_01_1718,item_20(VR),3.2.3,60.241912846970656,
chipmunk,0,6,6,3,,,,,,,,,,,,,98.93742873800147,None,97.94997840499855,98.95075986400116,103.9327794210003,108.9340128449985,1,0.8502677069991478,103.9327794210003,108.9340128449985,,,subj002,002,2021_Dec_01_1718,item_20(VR),3.2.3,60.241912846970656,
axe,0,7,7,10,,,,,,,,,,,,,109.93282805199851,None,108.95005609399959,109.95082855000146,114.93407224700059,None,2,0.4230968900010339,114.93407224700059,None,,,subj002,002,2021_Dec_01_1718,item_20(VR),3.2.3,60.241912846970656,
mirror,0,8,8,15,,,,,,,,,,,,,120.91737864300012,None,119.93338412999947,120.93738610600121,125.92050545800157,None,2,0.6386454329986009,125.92050545800157,None,,,subj002,002,2021_Dec_01_1718,item_20(VR),3.2.3,60.241912846970656,
