Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,7.523734182000226,None,1,4.967132171999765,7.523734182000226,None,,,,,,,,,,,,,,,,,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
,,,,,,,,,,,12.52369164600077,None,5,17.61535320599978,12.52369164600077,None,,,,,,,,,,,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
walrus,0,0,0,25,,,,,,,,,,,,,31.179594105999968,None,30.190169156000593,31.196609407000324,36.17373434199999,None,1,1.5462997900003757,36.17373434199999,None,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
microscope,0,1,1,6,,,,,,,,,,,,,42.179950069999904,None,41.19076025400045,42.19710115500038,47.1804517620003,None,2,0.4305660859999989,47.1804517620003,None,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
knight,0,2,2,38,,,,,,,,,,,,,53.1633365280004,None,52.180450503999964,53.18001099400044,58.163374986000235,None,1,0.7425684560002992,58.163374986000235,None,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
keyboard,0,3,3,15,,,,,,,,,,,,,64.16379120800048,63.16288080300001,63.16288080300001,64.16379120800048,69.16351937000036,63.16288080300001,2,1.8334393739996813,69.16351937000036,63.16288080300001,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
ketchup,0,4,4,2,,,,,,,,,,,,,75.14713645500069,74.16367335399991,74.16367335399991,75.16362313800073,80.1465807250006,74.16367335399991,2,0.8263513000001694,80.1465807250006,74.16367335399991,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
passport,0,5,5,4,,,,,,,,,,,,,86.13050594600008,85.14650771300057,85.14650771300057,86.15700564200051,91.1305626860003,85.14650771300057,2,0.40845474300022033,91.1305626860003,85.14650771300057,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
scalpel,0,6,6,19,,,,,,,,,,,,,97.11440360300003,107.11352828500003,96.12970515600045,97.13074730800054,102.12367497000014,96.12970515600045,2,0.7853642039999613,102.12367497000014,96.12970515600045,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
treadmill,0,7,7,16,,,,,,,,,,,,,108.11397117600063,None,107.13082102699991,108.13002194900037,113.11327868400076,107.13082102699991,2,1.2747914100000344,113.11327868400076,107.13082102699991,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
leopard,0,8,8,24,,,,,,,,,,,,,119.10649171900059,118.12336211799993,118.12336211799993,119.12329256900011,124.09742135500073,129.09749595500034,1,0.8756063319997338,124.09742135500073,129.09749595500034,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
platypus,0,9,9,35,,,,,,,,,,,,,130.09672928300006,129.12330043100064,129.12330043100064,130.13071065400072,135.09755670400045,None,1,0.9954727389995242,135.09755670400045,None,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
porcupine,0,10,10,22,,,,,,,,,,,,,141.08086030600043,140.10611972300012,140.10611972300012,141.11399934600013,146.080846672,140.10611972300012,1,0.9570453619999171,146.080846672,140.10611972300012,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
bulldozer,0,11,11,17,,,,,,,,,,,,,152.08944067800076,151.08915101100047,151.08915101100047,152.10628284199993,157.06427506900036,162.0635811940001,2,1.9356105360002402,157.06427506900036,162.0635811940001,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
camera,0,12,12,3,,,,,,,,,,,,,163.089551561,162.0975676300004,162.0975676300004,163.1626107890006,168.08076838800025,173.0801362150005,2,0.6452666429995588,168.08076838800025,173.0801362150005,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
cheesecake,0,13,13,7,,,,,,,,,,,,,174.08026405800047,184.0802927300001,173.09734898400075,174.09729110600074,179.08923199000037,None,2,1.7636776709996411,179.08923199000037,None,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
chipmunk,0,14,14,26,,,,,,,,,,,,,185.0807028650006,None,184.1060592620006,185.122446974,190.08036417600033,184.1060592620006,1,0.6226386629996341,190.08036417600033,184.1060592620006,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
snowball,0,15,15,14,,,,,,,,,,,,,196.06445030500072,195.0813545000001,195.0813545000001,196.08038363600008,201.06414810600018,195.0813545000001,2,2.152897366000616,201.06414810600018,195.0813545000001,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
necklace,0,16,16,12,,,,,,,,,,,,,207.0469363430002,217.05545328300013,206.06313276900073,207.06371359500008,212.055126579,206.06313276900073,2,0.5107681510007751,212.055126579,206.06313276900073,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
binoculars,0,17,17,1,,,,,,,,,,,,,218.06430331400043,None,217.07149105700046,218.0809355600004,223.07170713400046,217.07149105700046,2,0.6152076969992777,223.07170713400046,217.07149105700046,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
hair,0,18,18,8,,,,,,,,,,,,,229.04764750200047,239.05501927500063,228.07169255200006,229.08862694800064,234.06373056700068,228.07169255200006,2,1.0231905520004148,234.06373056700068,228.07169255200006,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
stove,0,19,19,13,,,,,,,,,,,,,240.06373448700015,250.0643985810002,239.0720076560001,240.08021456300048,245.07109116100037,239.0720076560001,2,2.2517784669998946,245.07109116100037,239.0720076560001,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
airplane,0,20,20,9,,,,,,,,,,,,,251.06346468300035,None,250.08829528600018,251.097597727,256.0644675270005,250.08829528600018,2,0.6374586500005535,256.0644675270005,250.08829528600018,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
swan,0,21,21,29,,,,,,,,,,,,,262.04737882800055,261.0644887490007,261.0644887490007,262.0644564009999,267.0477099380005,261.0644887490007,1,0.8573204160002206,267.0477099380005,261.0644887490007,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
umbrella,0,22,22,5,,,,,,,,,,,,,273.0372387420002,272.0471634330006,272.0471634330006,273.04771290900044,278.0309504200004,272.0471634330006,2,1.0770695080000223,278.0309504200004,272.0471634330006,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
mirror,0,23,23,10,,,,,,,,,,,,,284.03799662300025,283.03752850100045,283.03752850100045,284.0540911960006,289.030491644,294.0376171200005,None,,289.030491644,294.0376171200005,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
donkey,0,24,24,23,,,,,,,,,,,,,295.047710414,294.05460049500016,294.05460049500016,295.047710414,300.03775977500027,None,1,1.2812559489993873,300.03775977500027,None,,,subj003,001,2021_Dec_05_1557,item,3.2.3,59.675771745260484,
