Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,8.929568919000303,None,1,10.897270983999988,8.929568919000303,None,,,,,,,,,,,,,,,,,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
,,,,,,,,,,,19.846579836000274,None,5,24.747255583999504,19.846579836000274,None,,,,,,,,,,,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
knight,0,0,0,38,,,,,,,,,,,,,45.63866247599981,None,44.64579311000034,45.6551789490004,50.6392441400003,None,1,2.015598725000018,50.6392441400003,None,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
necklace,0,1,1,12,,,,,,,,,,,,,56.61313104600049,66.60586114600028,55.62932618600007,56.62950575600007,61.62924242000008,None,2,1.0784718899994914,61.62924242000008,None,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
cabdriver,0,2,2,36,,,,,,,,,,,,,67.64573627700065,None,66.63880241600054,67.64573627700065,72.63876713500031,None,1,1.0221260329999495,72.63876713500031,None,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
binoculars,0,3,3,1,,,,,,,,,,,,,78.63923632500064,None,77.6450007530002,78.66230171999996,83.63845882399983,None,2,0.9463830089998737,83.63845882399983,None,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
airplane,0,4,4,9,,,,,,,,,,,,,89.62153816200043,None,88.63910249200035,89.64563764100058,94.62263627399989,None,1,0.7510923090003416,94.62263627399989,None,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
platypus,0,5,5,35,,,,,,,,,,,,,100.60554499400041,110.6128122250002,99.62244160400041,100.6219362339998,105.62198937300036,99.62244160400041,1,0.8569009049997476,105.62198937300036,99.62244160400041,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
hummingbird,0,6,6,28,,,,,,,,,,,,,111.62280051400012,None,110.63879613400059,111.63917336000031,116.62231914800032,None,1,0.9524084280001262,116.62231914800032,None,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
violinist,0,7,7,39,,,,,,,,,,,,,122.61229534199992,121.622313889,121.622313889,122.62132929200015,127.61186287400051,121.622313889,1,0.8439956620004523,127.61186287400051,121.622313889,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
swan,0,8,8,29,,,,,,,,,,,,,133.6118795000002,132.62782391900055,132.62782391900055,133.62792736900064,138.61188137699992,132.62782391900055,1,0.7809526430000915,138.61188137699992,132.62782391900055,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
ladybug,0,9,9,30,,,,,,,,,,,,,144.60612926900012,143.62870420400031,143.62870420400031,144.6392540120005,149.60625147100018,143.62870420400031,1,1.4644977899997684,149.60625147100018,143.62870420400031,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
donkey,0,10,10,23,,,,,,,,,,,,,155.61141248200056,154.61161286800052,154.61161286800052,155.6218672770001,160.605514201,165.60479718999977,1,0.45427840699994704,160.605514201,165.60479718999977,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
chipmunk,0,11,11,26,,,,,,,,,,,,,166.605616844,165.6216112460006,165.6216112460006,166.6227412140006,171.6060695060005,None,1,0.6547630909999498,171.6060695060005,None,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
cheesecake,0,12,12,7,,,,,,,,,,,,,177.5889838660005,176.60462642099992,176.60462642099992,177.60612420000052,182.58941404100005,176.60462642099992,2,0.9242726290003702,182.58941404100005,176.60462642099992,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
baby,0,13,13,20,,,,,,,,,,,,,188.572201338,198.57280021499992,187.5892408790005,188.5887110220001,193.57849154399992,187.5892408790005,1,0.8214030079998338,193.57849154399992,187.5892408790005,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
porcupine,0,14,14,22,,,,,,,,,,,,,199.57284414600053,None,198.59462577700015,199.60591513300005,204.57286791299975,198.59462577700015,1,0.6880194559998927,204.57286791299975,198.59462577700015,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
waterfall,0,15,15,18,,,,,,,,,,,,,210.55616692200056,220.56042392500058,209.57700633200056,210.58930350599985,215.5603888579999,209.57700633200056,1,1.2864422040001955,215.5603888579999,209.57700633200056,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
keyboard,0,16,16,15,,,,,,,,,,,,,221.5733280280001,None,220.5718369160004,221.5733280280001,226.56047150300037,231.5560658080003,2,0.6743888829996649,226.56047150300037,231.5560658080003,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
grandfather,0,17,17,34,,,,,,,,,,,,,232.5559821500001,231.57746415200018,231.57746415200018,232.59391717000017,237.56078215600064,None,1,0.7649678910001967,237.56078215600064,None,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
hairstylist,0,18,18,37,,,,,,,,,,,,,243.5561949540006,242.56024916800015,242.56024916800015,243.5561949540006,248.55631475600057,242.56024916800015,1,0.5834092170007352,248.55631475600057,242.56024916800015,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
treadmill,0,19,19,16,,,,,,,,,,,,,254.55554261500038,253.55517249400054,253.55517249400054,254.55554261500038,259.5564119010005,253.55517249400054,1,0.6934331749998819,259.5564119010005,253.55517249400054,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
scalpel,0,20,20,19,,,,,,,,,,,,,265.5396987140002,264.60969183999987,264.60969183999987,265.62240655000005,270.5398394009999,264.60969183999987,2,0.640053226999953,270.5398394009999,264.60969183999987,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
crab,0,21,21,31,,,,,,,,,,,,,276.5231084440002,275.53950497700043,275.53950497700043,276.53952681100054,281.52307343099983,275.53950497700043,1,0.793844062000062,281.52307343099983,275.53950497700043,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
axe,0,22,22,0,,,,,,,,,,,,,287.5064382720002,286.5224000190001,286.5224000190001,287.52242987499994,292.5065153120004,286.5224000190001,2,0.5692122199998266,292.5065153120004,286.5224000190001,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
microscope,0,23,23,6,,,,,,,,,,,,,298.4897129390001,297.5053851090006,297.5053851090006,298.50576288400043,303.4895455530004,297.5053851090006,2,1.0513057289999779,303.4895455530004,297.5053851090006,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
umbrella,0,24,24,5,,,,,,,,,,,,,309.4730507260001,308.48904683599994,308.48904683599994,309.48913718600033,314.4723911780002,308.48904683599994,2,0.6153563289999511,314.4723911780002,308.48904683599994,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
passport,0,25,25,4,,,,,,,,,,,,,320.45650713899977,319.47320436800055,319.47320436800055,320.4731453180002,325.4553619819999,319.47320436800055,2,0.6085090719998334,325.4553619819999,319.47320436800055,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
bulldozer,0,26,26,17,,,,,,,,,,,,,331.45646117700016,330.45504566,330.45504566,331.45646117700016,336.45625880100033,330.45504566,1,0.6886212130002605,336.45625880100033,330.45504566,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
cheerleader,0,27,27,32,,,,,,,,,,,,,342.43982585200047,341.4557294820006,341.4557294820006,342.45594512299976,347.4391479830001,341.4557294820006,1,0.7957779479993405,347.4391479830001,341.4557294820006,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
camera,0,28,28,3,,,,,,,,,,,,,353.4225079610005,352.4392096070005,352.4392096070005,353.43949622200034,358.4225707430005,352.4392096070005,2,0.6171399300001212,358.4225707430005,352.4392096070005,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
fingerprint,0,29,29,11,,,,,,,,,,,,,364.4058060950001,363.42300853899997,363.42300853899997,364.4230346100003,369.40496654800063,363.42300853899997,2,0.5149191230002543,369.40496654800063,363.42300853899997,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
leopard,0,30,30,24,,,,,,,,,,,,,375.3899493839999,374.40537921899977,374.40537921899977,375.4064448529998,380.3891780040003,374.40537921899977,2,0.4266803599994091,380.3891780040003,374.40537921899977,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
coyote,0,31,31,27,,,,,,,,,,,,,386.3733407260006,385.38935833400046,385.38935833400046,386.38967551899987,391.37345932600056,385.38935833400046,1,0.5862667399997008,391.37345932600056,385.38935833400046,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
elephant,0,32,32,21,,,,,,,,,,,,,397.3735791480003,396.3913149710006,396.3913149710006,397.4067155490002,402.37278175900065,396.3913149710006,1,0.8130751290000262,402.37278175900065,396.3913149710006,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
mirror,0,33,33,10,,,,,,,,,,,,,408.3560985519998,407.37324263699975,407.37324263699975,408.37329792200035,413.3560723770006,407.37324263699975,2,0.9516554629999519,413.3560723770006,407.37324263699975,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
hair,0,34,34,8,,,,,,,,,,,,,419.3394635169998,418.3565704869998,418.3565704869998,419.35570140100026,424.3398337810004,418.3565704869998,2,1.16787747699982,424.3398337810004,418.3565704869998,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
snowball,0,35,35,14,,,,,,,,,,,,,430.33972841500054,429.3394901090005,429.3394901090005,430.33972841500054,435.3398727370004,429.3394901090005,2,0.9018400100003419,435.3398727370004,429.3394901090005,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
walrus,0,36,36,25,,,,,,,,,,,,,441.3231808720002,440.3393267170004,440.3393267170004,441.33920580999984,446.32248721500036,440.3393267170004,1,2.1904192480005804,446.32248721500036,440.3393267170004,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
seahorse,0,37,37,33,,,,,,,,,,,,,452.30664057800004,451.32348660200023,451.32348660200023,452.3226174800002,457.3066582620004,451.32348660200023,1,0.7262096799995561,457.3066582620004,451.32348660200023,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
ketchup,0,38,38,2,,,,,,,,,,,,,463.2898907400004,462.3059429800005,462.3059429800005,463.3060315470002,468.2899542750001,462.3059429800005,2,1.0417592849998982,468.2899542750001,462.3059429800005,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
stove,0,39,39,13,,,,,,,,,,,,,474.2732733900002,473.2901237639999,473.2901237639999,474.2893512270002,479.27339278399995,473.2901237639999,2,0.8863554649997241,479.27339278399995,473.2901237639999,,,subj005,001,2021_Nov_09_1908,item,3.2.3,60.162445340597216,
,,,,,,,,,,,,,,,,,,,,,,,,,,,484.27255958600017,None,,,,,,,
