Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,15.036816959999669,None,1,2.762084643999515,15.036816959999669,None,,,,,,,,,,,,,,,,,,,subj005,002,2021_Nov_09_1917,item,3.2.3,59.85709059765069,
,,,,,,,,,,,17.81861043400022,None,5,17.832325917000162,17.81861043400022,None,,,,,,,,,,,,,subj005,002,2021_Nov_09_1917,item,3.2.3,59.85709059765069,
violinist,0,0,0,39,,,,,,,,,,,,,36.66951457699997,46.66958123400036,35.68629932000022,36.686733315999845,41.670123895999495,None,1,0.7758033170002818,41.670123895999495,None,,,subj005,002,2021_Nov_09_1917,item,3.2.3,59.85709059765069,
ladybug,0,1,1,30,,,,,,,,,,,,,47.68559899899992,None,46.685787819000325,47.68559899899992,52.686064407999766,None,1,0.6048292559999027,52.686064407999766,None,,,subj005,002,2021_Nov_09_1917,item,3.2.3,59.85709059765069,
airplane,0,2,2,9,,,,,,,,,,,,,58.668984799999635,None,57.68572525299987,58.68612558800032,63.6690758499999,None,1,0.5608235709996734,63.6690758499999,None,,,subj005,002,2021_Nov_09_1917,item,3.2.3,59.85709059765069,
coyote,0,3,3,27,,,,,,,,,,,,,69.65235465299975,79.65238535299977,68.66901590599991,69.66918978800004,74.65367874099957,None,1,0.6712377590001779,74.65367874099957,None,,,subj005,002,2021_Nov_09_1917,item,3.2.3,59.85709059765069,
hummingbird,0,4,4,28,,,,,,,,,,,,,80.6692243159996,None,79.66937137500008,80.6692243159996,85.66898352499993,79.66937137500008,1,0.4599246759999005,85.66898352499993,79.66937137500008,,,subj005,002,2021_Nov_09_1917,item,3.2.3,59.85709059765069,
grandfather,0,5,5,34,,,,,,,,,,,,,91.65208497099957,90.6690136340003,90.6690136340003,91.67020264999974,96.65226576199984,90.6690136340003,1,0.5154400270002952,96.65226576199984,90.6690136340003,,,subj005,002,2021_Nov_09_1917,item,3.2.3,59.85709059765069,
waterfall,0,6,6,18,,,,,,,,,,,,,102.63551155999994,101.65133688300011,101.65133688300011,102.652291032,107.63624710299973,101.65133688300011,1,1.0246168860003309,107.63624710299973,101.65133688300011,,,subj005,002,2021_Nov_09_1917,item,3.2.3,59.85709059765069,
keyboard,0,7,7,15,,,,,,,,,,,,,113.62043158699998,112.65183236099983,112.65183236099983,113.65207575800014,118.62002235299951,112.65183236099983,2,1.1218703049999021,118.62002235299951,112.65183236099983,,,subj005,002,2021_Nov_09_1917,item,3.2.3,59.85709059765069,
elephant,0,8,8,21,,,,,,,,,,,,,124.60310029900029,123.61913189699953,123.61913189699953,124.61991027099975,129.60316324399992,123.61913189699953,1,1.0335703479995573,129.60316324399992,123.61913189699953,,,subj005,002,2021_Nov_09_1917,item,3.2.3,59.85709059765069,
crab,0,9,9,31,,,,,,,,,,,,,135.5864010610003,134.60329608499978,134.60329608499978,135.60330672700002,140.58650620699973,134.60329608499978,1,0.7502028669996434,140.58650620699973,134.60329608499978,,,subj005,002,2021_Nov_09_1917,item,3.2.3,59.85709059765069,
microscope,0,10,10,6,,,,,,,,,,,,,146.5697110629999,145.58664110599966,145.58664110599966,146.58657022599982,151.56979071499973,145.58664110599966,2,1.9700796669994816,151.56979071499973,145.58664110599966,,,subj005,002,2021_Nov_09_1917,item,3.2.3,59.85709059765069,
donkey,0,11,11,23,,,,,,,,,,,,,157.55305403900002,156.56917656899986,156.56917656899986,157.56986954100012,162.5530771650001,156.56917656899986,1,0.7146596510001473,162.5530771650001,156.56917656899986,,,subj005,002,2021_Nov_09_1917,item,3.2.3,59.85709059765069,
platypus,0,12,12,35,,,,,,,,,,,,,168.53749311299998,167.55347278599947,167.55347278599947,168.55430437199993,173.5374912540001,167.55347278599947,1,1.7822439179999492,173.5374912540001,167.55347278599947,,,subj005,002,2021_Nov_09_1917,item,3.2.3,59.85709059765069,
