Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,7.782023501997173,None,1,68.15509745900272,7.782023501997173,None,,,,,,,,,,,,,,,,,,,subj008,001,2022_Mar_27_1759,item,3.2.3,60.20612083153395,
,,,,,,,,,,,75.95668138599649,None,5,35.480409081999824,75.95668138599649,None,,,,,,,,,,,,,subj008,001,2022_Mar_27_1759,item,3.2.3,60.20612083153395,
umbrella,0,0,0,5,,,,,,,,,,,,,112.46550550699976,122.46565838899915,111.47150617399893,112.48224780399687,117.48077630499756,None,2,2.0852544410008704,117.48077630499756,None,,,subj008,001,2022_Mar_27_1759,item,3.2.3,60.20612083153395,
cheerleader,0,1,1,32,,,,,,,,,,,,,123.48278846999892,None,122.48242217699953,123.48278846999892,128.47269229299854,None,1,0.8954407759993046,128.47269229299854,None,,,subj008,001,2022_Mar_27_1759,item,3.2.3,60.20612083153395,
platypus,0,2,2,35,,,,,,,,,,,,,134.48287370599792,None,133.48910705699745,134.49941558599676,139.47239342699686,None,1,0.7087118640010885,139.47239342699686,None,,,subj008,001,2022_Mar_27_1759,item,3.2.3,60.20612083153395,
baby,0,3,3,20,,,,,,,,,,,,,145.466281058998,None,144.4724524639969,145.4888164699987,150.4663581349996,None,1,0.6838129719981225,150.4663581349996,None,,,subj008,001,2022_Mar_27_1759,item,3.2.3,60.20612083153395,
cabdriver,0,4,4,36,,,,,,,,,,,,,156.46608209199985,None,155.47186115599834,156.48290018499756,161.46571577899886,None,1,0.7394102319995,161.46571577899886,None,,,subj008,001,2022_Mar_27_1759,item,3.2.3,60.20612083153395,
passport,0,5,5,4,,,,,,,,,,,,,167.44939310299742,177.44957943999907,166.47209595899767,167.48295173799852,172.4663744679965,None,2,0.5757434410006681,172.4663744679965,None,,,subj008,001,2022_Mar_27_1759,item,3.2.3,60.20612083153395,
crab,0,6,6,31,,,,,,,,,,,,,178.44957760399848,188.44975322299797,177.46635166399938,178.47161086399865,183.45486834399708,177.46635166399938,1,0.6602502349996939,183.45486834399708,177.46635166399938,,,subj008,001,2022_Mar_27_1759,item,3.2.3,60.20612083153395,
stove,0,7,7,13,,,,,,,,,,,,,189.45491342499736,None,188.46600114600005,189.47173993499746,194.44901346799816,188.46600114600005,2,0.6901234940014547,194.44901346799816,188.46600114600005,,,subj008,001,2022_Mar_27_1759,item,3.2.3,60.20612083153395,
leopard,0,8,8,24,,,,,,,,,,,,,200.4551920699996,199.45440982699802,199.45440982699802,200.46630396399996,205.4383637259998,210.44874311499734,1,1.6497720400002436,205.4383637259998,210.44874311499734,,,subj008,001,2022_Mar_27_1759,item,3.2.3,60.20612083153395,
necklace,0,9,9,12,,,,,,,,,,,,,211.44959597999696,210.46530779099703,210.46530779099703,211.4663815089989,216.44888899299985,None,2,0.6392217760003405,216.44888899299985,None,,,subj008,001,2022_Mar_27_1759,item,3.2.3,60.20612083153395,
