Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,7.593042841999704,None,1,6.3854722430005495,7.593042841999704,None,,,,,,,,,,,,,,,,,,,subj008,002,2022_Mar_27_1809,item,3.2.3,59.77287776956517,
,,,,,,,,,,,14.009481021999818,None,5,16.39225015199918,14.009481021999818,None,,,,,,,,,,,,,subj008,002,2022_Mar_27_1809,item,3.2.3,59.77287776956517,
cheerleader,0,0,0,32,,,,,,,,,,,,,31.42645292599991,None,30.443274075001682,31.442949839001813,36.426263264002046,None,1,0.8134639820018492,36.426263264002046,None,,,subj008,002,2022_Mar_27_1809,item,3.2.3,59.77287776956517,
hair,0,1,1,8,,,,,,,,,,,,,42.40971388500111,41.426422226002614,41.426422226002614,42.4258594669991,47.409680848999415,41.426422226002614,2,0.8518917229994258,47.409680848999415,41.426422226002614,,,subj008,002,2022_Mar_27_1809,item,3.2.3,59.77287776956517,
mirror,0,2,2,10,,,,,,,,,,,,,53.39300187200206,52.40966444500009,52.40966444500009,53.40967883800113,58.392887789999804,52.40966444500009,2,0.8367978850001236,58.392887789999804,52.40966444500009,,,subj008,002,2022_Mar_27_1809,item,3.2.3,59.77287776956517,
binoculars,0,3,3,1,,,,,,,,,,,,,64.39262855900233,63.393271053002536,63.393271053002536,64.39262855900233,69.39265178300047,63.393271053002536,2,1.6019216179993236,69.39265178300047,63.393271053002536,,,subj008,002,2022_Mar_27_1809,item,3.2.3,59.77287776956517,
knight,0,4,4,38,,,,,,,,,,,,,75.37583207400166,74.39262820600197,74.39262820600197,75.39403904700157,80.37757521000094,74.39262820600197,1,1.1250174939996214,80.37757521000094,74.39262820600197,,,subj008,002,2022_Mar_27_1809,item,3.2.3,59.77287776956517,
axe,0,5,5,0,,,,,,,,,,,,,86.36074179199932,85.37714216400127,85.37714216400127,86.37724910399993,91.36044809099985,85.37714216400127,2,0.916167637999024,91.36044809099985,85.37714216400127,,,subj008,002,2022_Mar_27_1809,item,3.2.3,59.77287776956517,
scalpel,0,6,6,19,,,,,,,,,,,,,97.34348662300181,96.3601094250007,96.3601094250007,97.36036299000261,102.34360546899916,96.3601094250007,2,0.8061210029991344,102.34360546899916,96.3601094250007,,,subj008,002,2022_Mar_27_1809,item,3.2.3,59.77287776956517,
donkey,0,7,7,23,,,,,,,,,,,,,108.32679750700117,107.34337241200046,107.34337241200046,108.34368707700196,113.32688956399943,107.34337241200046,1,1.0537990769989847,113.32688956399943,107.34337241200046,,,subj008,002,2022_Mar_27_1809,item,3.2.3,59.77287776956517,
coyote,0,8,8,27,,,,,,,,,,,,,119.31018565900013,118.32710763599971,118.32710763599971,119.32701401400118,124.31013414799963,118.32710763599971,1,1.0275693809999211,124.31013414799963,118.32710763599971,,,subj008,002,2022_Mar_27_1809,item,3.2.3,59.77287776956517,
grandfather,0,9,9,34,,,,,,,,,,,,,130.29342976800035,129.3100986089994,129.3100986089994,130.3103065159994,135.2946870630003,129.3100986089994,1,0.9518749810013105,135.2946870630003,129.3100986089994,,,subj008,002,2022_Mar_27_1809,item,3.2.3,59.77287776956517,
seahorse,0,10,10,33,,,,,,,,,,,,,141.277885391999,140.29386132299987,140.29386132299987,141.29466069400223,146.27791851499933,140.29386132299987,1,0.9628087429991865,146.27791851499933,140.29386132299987,,,subj008,002,2022_Mar_27_1809,item,3.2.3,59.77287776956517,
