Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,8.826751569000407,None,1,11.896868922998692,8.826751569000407,None,,,,,,,,,,,,,,,,,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
,,,,,,,,,,,20.752475859999322,None,5,34.05814145899967,20.752475859999322,None,,,,,,,,,,,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
hair,0,0,0,8,,,,,,,,,,,,,55.85382647000006,None,54.859718698000506,55.870709992999764,60.860641266999664,None,2,1.7788793749987235,60.860641266999664,None,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
donkey,0,1,1,23,,,,,,,,,,,,,66.8369742979994,None,65.85299115700036,66.8540397910001,71.83734392000042,None,1,0.9491470390003087,71.83734392000042,None,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
waterfall,0,2,2,18,,,,,,,,,,,,,77.82064430500031,87.82049352499962,76.83718818600028,77.84338769399983,82.84352783199938,76.83718818600028,2,0.9550966980004887,82.84352783199938,76.83718818600028,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
crab,0,3,3,31,,,,,,,,,,,,,88.83752738300063,None,87.85355780300051,88.85955336000006,93.83740783999929,None,1,0.6962495909992867,93.83740783999929,None,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
violinist,0,4,4,39,,,,,,,,,,,,,99.83721357499962,109.83729704500001,98.83698725000067,99.83721357499962,104.84301085100014,98.83698725000067,1,0.8764433679989452,104.84301085100014,98.83698725000067,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
grandfather,0,5,5,34,,,,,,,,,,,,,110.83740210699943,120.83742033399903,109.85944705899965,110.87074633200064,115.84275648699986,None,1,0.781701162999525,115.84275648699986,None,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
seahorse,0,6,6,33,,,,,,,,,,,,,121.83680226599972,None,120.859549073999,121.8704136769993,126.83697681599915,None,1,0.6566607869990548,126.83697681599915,None,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
baby,0,7,7,20,,,,,,,,,,,,,132.82606215600026,131.83753950900064,131.83753950900064,132.842813235,137.82093037699997,142.82100632899892,1,0.5525502289983706,137.82093037699997,142.82100632899892,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
walrus,0,8,8,25,,,,,,,,,,,,,143.82620984499954,142.8429860849992,142.8429860849992,143.8431806259996,148.8207404120003,None,1,0.7448685850013135,148.8207404120003,None,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
microscope,0,9,9,6,,,,,,,,,,,,,154.80940967400056,153.8252167369992,153.8252167369992,154.8258322769998,159.82078460999946,153.8252167369992,2,0.6318126630012557,159.82078460999946,153.8252167369992,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
bulldozer,0,10,10,17,,,,,,,,,,,,,165.80363976399894,175.808375265,164.8209397720002,165.81998133100024,170.82103607099998,164.8209397720002,2,0.4786088570017455,170.82103607099998,164.8209397720002,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
scalpel,0,11,11,19,,,,,,,,,,,,,176.8202734229999,None,175.82514746500055,176.84207147099914,181.8207561599993,175.82514746500055,2,0.46785678200103575,181.8207561599993,175.82514746500055,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
knight,0,12,12,38,,,,,,,,,,,,,187.80858887499926,186.82557412700044,186.82557412700044,187.82529863699892,192.80860115299947,186.82557412700044,1,0.7828989259996888,192.80860115299947,186.82557412700044,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
porcupine,0,13,13,22,,,,,,,,,,,,,198.79191493500002,197.80334631299957,197.80334631299957,198.80838240199955,203.80420963399956,197.80334631299957,1,0.7003148660005536,203.80420963399956,197.80334631299957,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
passport,0,14,14,4,,,,,,,,,,,,,209.78751285699946,208.80432742399898,208.80432742399898,209.8035404759994,214.79176250899945,208.80432742399898,2,0.40278983099960897,214.79176250899945,208.80432742399898,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
cheesecake,0,15,15,7,,,,,,,,,,,,,220.77080631399986,219.78661696400013,219.78661696400013,220.79171443300038,225.77087939900048,219.78661696400013,2,0.5255584789993009,225.77087939900048,219.78661696400013,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
platypus,0,16,16,35,,,,,,,,,,,,,231.75409879799918,230.77469539699996,230.77469539699996,231.79175630700047,236.75418863999948,230.77469539699996,1,0.501312473001235,236.75418863999948,230.77469539699996,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
elephant,0,17,17,21,,,,,,,,,,,,,242.73753610200038,241.75822438000068,241.75822438000068,242.77477350499976,247.7372055350006,241.75822438000068,1,0.5264024820007762,247.7372055350006,241.75822438000068,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
coyote,0,18,18,27,,,,,,,,,,,,,253.72087818900036,252.73761087499952,252.73761087499952,253.74076638400038,258.7209627400007,252.73761087499952,1,0.42061979500067537,258.7209627400007,252.73761087499952,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
leopard,0,19,19,24,,,,,,,,,,,,,264.7079016610005,263.7202748029995,263.7202748029995,264.7209920139994,269.70435802300017,274.70398800899966,1,0.5632484380003007,269.70435802300017,274.70398800899966,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
airplane,0,20,20,9,,,,,,,,,,,,,275.70436668299953,274.72112212499997,274.72112212499997,275.72125679300007,280.7035287189992,None,2,0.5400936369987903,280.7035287189992,None,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
mirror,0,21,21,10,,,,,,,,,,,,,286.68770751400007,285.7036911239993,285.7036911239993,286.70454887400047,291.6878776699996,285.7036911239993,2,0.5227490039997065,291.6878776699996,285.7036911239993,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
camera,0,22,22,3,,,,,,,,,,,,,297.67106860700005,296.68777419400067,296.68777419400067,297.6870750449998,302.67105443199944,296.68777419400067,2,0.9824104520012042,302.67105443199944,296.68777419400067,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
stove,0,23,23,13,,,,,,,,,,,,,308.67392505299904,307.67074848099946,307.67074848099946,308.67392505299904,313.671265220999,318.6708844749992,2,0.4482485429998633,313.671265220999,318.6708844749992,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
cheerleader,0,24,24,32,,,,,,,,,,,,,319.67057858800035,318.6873786569995,318.6873786569995,319.687604024999,324.6706815279995,None,1,0.781825543001105,324.6706815279995,None,,,subj009,001,2022_Jun_25_1357,item,3.2.3,60.26877244832881,
