Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,5.621913346003566,None,1,2.6759565550019033,5.621913346003566,None,,,,,,,,,,,,,,,,,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
,,,,,,,,,,,8.321320551003737,None,5,16.88771348300361,8.321320551003737,None,,,,,,,,,,,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
chipmunk,0,0,0,18,,,,,,,,,,,,,26.23898398700112,None,25.252709988002607,26.255836766002176,31.238185119000264,None,1,0.5378263739985414,31.238185119000264,None,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
treadmill,0,1,1,17,,,,,,,,,,,,,37.22204115400382,36.23817415200028,36.23817415200028,37.238201097003184,42.22237449700333,36.23817415200028,2,0.7694818439995288,42.22237449700333,36.23817415200028,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
porcupine,0,2,2,13,,,,,,,,,,,,,48.20559862200025,47.22239604900096,47.22239604900096,48.22243674600031,53.20558219600207,47.22239604900096,1,0.5604477399974712,53.20558219600207,47.22239604900096,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
ketchup,0,3,3,15,,,,,,,,,,,,,59.18876085100055,58.2049088040003,58.2049088040003,59.20512487600354,64.18874367700482,58.2049088040003,2,0.731341059996339,64.18874367700482,58.2049088040003,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
ladybug,0,4,4,10,,,,,,,,,,,,,70.17208651300461,69.1881207539991,69.1881207539991,70.18847791400185,75.17203369799972,69.1881207539991,1,0.6678465250006411,75.17203369799972,69.1881207539991,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
cheerleader,0,5,5,12,,,,,,,,,,,,,81.15647839500161,80.17210518000502,80.17210518000502,81.17169006800395,86.15589984899998,80.17210518000502,1,0.5251453899982153,86.15589984899998,80.17210518000502,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
necklace,0,6,6,3,,,,,,,,,,,,,92.13871621200087,91.15594185599912,91.15594185599912,92.15597120000166,97.13928438800212,91.15594185599912,2,2.5057386889966438,97.13928438800212,91.15594185599912,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
passport,0,7,7,16,,,,,,,,,,,,,103.12259041400102,102.13925394400576,102.13925394400576,103.13932921800006,108.12255142000504,102.13925394400576,2,1.5853338840024662,108.12255142000504,102.13925394400576,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
cabdriver,0,8,8,8,,,,,,,,,,,,,114.12200999800552,113.12270827300381,113.12270827300381,114.12200999800552,119.1227608390036,113.12270827300381,1,0.6851186530038831,119.1227608390036,113.12270827300381,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
grandfather,0,9,9,7,,,,,,,,,,,,,125.10583347899956,124.12252927300142,124.12252927300142,125.12266864300182,130.1056300850032,124.12252927300142,1,1.3044090519979363,130.1056300850032,124.12252927300142,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
waterfall,0,10,10,2,,,,,,,,,,,,,136.08893185500347,135.10507427099947,135.10507427099947,136.10536198699992,141.08859869500156,135.10507427099947,2,0.8974253469932592,141.08859869500156,135.10507427099947,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
hair,0,11,11,9,,,,,,,,,,,,,147.08484063700598,157.08481615200435,146.10160996999912,147.10162083100295,152.10088395899947,146.10160996999912,2,1.2671498600029736,152.10088395899947,146.10160996999912,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
microscope,0,12,12,1,,,,,,,,,,,,,158.0848443750001,None,157.10102762799943,158.10167612200166,163.08489435600495,157.10102762799943,2,0.8611521489947336,163.08489435600495,157.10102762799943,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
snowball,0,13,13,19,,,,,,,,,,,,,169.07299328099907,168.08433199900173,168.08433199900173,169.08984570800385,174.07265297599952,168.08433199900173,2,1.3063987899950007,174.07265297599952,168.08433199900173,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
knight,0,14,14,4,,,,,,,,,,,,,180.06775816700247,179.07246999200288,179.07246999200288,180.08459774600487,185.0677744890054,179.07246999200288,1,0.6502301910004462,185.0677744890054,179.07246999200288,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
axe,0,15,15,6,,,,,,,,,,,,,191.05606323200482,201.06709219999902,190.07264496599964,191.07283963300142,196.06785992400546,190.07264496599964,2,0.6101919209977495,196.06785992400546,190.07264496599964,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
hummingbird,0,16,16,5,,,,,,,,,,,,,202.08427721200133,None,201.08422164900549,202.10112034200574,207.07240782900044,201.08422164900549,1,0.5686302600006456,207.07240782900044,201.08422164900549,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
mirror,0,17,17,11,,,,,,,,,,,,,213.067529826003,212.0842572440015,212.0842572440015,213.08432008600357,218.0728195460033,212.0842572440015,2,0.6951005549999536,218.0728195460033,212.0842572440015,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
baby,0,18,18,14,,,,,,,,,,,,,224.0560492709992,223.07272494800418,223.07272494800418,224.07290833900333,229.05619750500045,223.07272494800418,1,0.5548278870046488,229.05619750500045,223.07272494800418,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
leopard,0,19,19,0,,,,,,,,,,,,,235.05039689499972,234.05623128900334,234.05623128900334,235.05564381400472,240.05046697900252,234.05623128900334,1,0.6955789599960553,240.05046697900252,234.05623128900334,,,subj009,001,2022_Jul_12_1011,item_20(VR),3.2.3,59.83457499120864,
,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0672599919999,None,,,,,,,
