Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,56.49140724799872,None,1,11.801886654000555,56.49140724799872,None,,,,,,,,,,,,,,,,,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
,,,,,,,,,,,68.32364053499987,None,5,32.5986583490012,68.32364053499987,None,,,,,,,,,,,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
hairstylist,0,0,0,37,,,,,,,,,,,,,101.94047069699809,None,100.94233880499814,101.95762438100064,106.94085231400095,None,None,106.94085231400095,None,,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
mirror,0,1,1,10,,,,,,,,,,,,,112.94033784500061,None,111.9407464629985,112.94033784500061,117.94092850800007,None,2,117.94092850800007,None,3.9172667510028987,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
leopard,0,2,2,24,,,,,,,,,,,,,123.94023767399995,None,122.94000804700045,123.94023767399995,128.94042569000158,None,1,128.94042569000158,None,1.3839107929998136,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
microscope,0,3,3,6,,,,,,,,,,,,,134.92449136999858,133.94052560199998,133.94052560199998,134.94120611399921,139.92372921100105,144.92456544599918,2,139.92372921100105,144.92456544599918,0.5654816400019627,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
fingerprint,0,4,4,11,,,,,,,,,,,,,145.92378997099877,None,144.94125813999926,145.95711271799883,150.92429382200135,None,2,150.92429382200135,None,2.069996195001295,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
snowball,0,5,5,14,,,,,,,,,,,,,156.92423733300166,155.92408166899986,155.92408166899986,156.92423733300166,161.9072340640014,166.90760075100116,2,161.9072340640014,166.90760075100116,4.62905241000044,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
cheerleader,0,6,6,32,,,,,,,,,,,,,167.9075937609996,166.9232077150009,166.9232077150009,167.924257450999,172.90768317900074,None,1,172.90768317900074,None,1.9616272320017742,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
ketchup,0,7,7,2,,,,,,,,,,,,,178.89113190499847,177.90702782399967,177.90702782399967,178.9079287329987,183.8910266089988,177.90702782399967,2,183.8910266089988,177.90702782399967,0.7442898640001658,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
hair,0,8,8,8,,,,,,,,,,,,,189.87397042299926,188.89045725699907,188.89045725699907,189.89041651400112,194.87440522600082,188.89045725699907,2,194.87440522600082,188.89045725699907,0.7939027229986095,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
cheesecake,0,9,9,7,,,,,,,,,,,,,200.85761286900015,199.87373991999993,199.87373991999993,200.87373299699902,205.85740681300013,199.87373991999993,2,205.85740681300013,199.87373991999993,2.2939245230008964,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
platypus,0,10,10,35,,,,,,,,,,,,,211.84071411200057,210.8569511809983,210.8569511809983,211.85793731000012,216.84084321000046,210.8569511809983,1,216.84084321000046,210.8569511809983,2.0653658019982686,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
crab,0,11,11,31,,,,,,,,,,,,,222.8903300790007,221.8412043850003,221.8412043850003,222.90713700299966,227.82462616499834,232.8246238799984,1,227.82462616499834,232.8246238799984,1.214664356000867,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
stove,0,12,12,13,,,,,,,,,,,,,233.87455282999872,232.8914070210012,232.8914070210012,233.89066962300058,238.8747563479992,None,2,238.8747563479992,None,1.1834186369997042,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
chipmunk,0,13,13,26,,,,,,,,,,,,,244.85797460400136,254.8572944160005,243.87362345699876,244.8739204759986,249.85894582699984,243.87362345699876,1,249.85894582699984,243.87362345699876,1.1672602649996406,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
waterfall,0,14,14,18,,,,,,,,,,,,,255.85824870799843,None,254.87449152499903,255.87450937099857,260.8582018870002,254.87449152499903,2,260.8582018870002,254.87449152499903,2.228153250001924,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
seahorse,0,15,15,33,,,,,,,,,,,,,266.857735100999,265.8746739499984,265.8746739499984,266.8746578620012,271.8576230239996,265.8746739499984,1,271.8576230239996,265.8746739499984,1.0206566589986323,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
scalpel,0,16,16,19,,,,,,,,,,,,,277.8408658990011,276.8575586929983,276.8575586929983,277.8579646949984,282.8409474270011,276.8575586929983,2,282.8409474270011,276.8575586929983,1.3483032969998021,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
umbrella,0,17,17,5,,,,,,,,,,,,,288.824387446999,298.82393036099893,287.8404137100006,288.8409029059985,293.8405840999985,287.8404137100006,2,293.8405840999985,287.8404137100006,2.56373518199689,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
baby,0,18,18,20,,,,,,,,,,,,,299.82437373799985,None,298.8415452980007,299.8407604319982,304.82404611400125,298.8415452980007,1,304.82404611400125,298.8415452980007,1.0212312370022119,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
camera,0,19,19,3,,,,,,,,,,,,,310.8080554090011,309.82387931799894,309.82387931799894,310.8240647220009,315.80736255900047,320.8069853490015,2,315.80736255900047,320.8069853490015,3.081850935002876,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
walrus,0,20,20,25,,,,,,,,,,,,,321.8234411090016,320.82387450700116,320.82387450700116,321.8234411090016,326.8241891990001,None,1,326.8241891990001,None,0.8251056429980963,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
keyboard,0,21,21,15,,,,,,,,,,,,,332.80676900099934,331.8237147309992,331.8237147309992,332.8238779530002,337.80687296700125,331.8237147309992,2,337.80687296700125,331.8237147309992,0.9934634659985022,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
cabdriver,0,22,22,36,,,,,,,,,,,,,343.7901075150003,353.7902934519989,342.8068846640017,343.807010337001,348.807013089001,342.8068846640017,1,348.807013089001,342.8068846640017,1.9563053470010345,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
elephant,0,23,23,21,,,,,,,,,,,,,354.80706912000096,None,353.80733132800015,354.80706912000096,359.79122393500074,353.80733132800015,1,359.79122393500074,353.80733132800015,0.5291212429983716,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
donkey,0,24,24,23,,,,,,,,,,,,,365.7904207850006,364.80657390600027,364.80657390600027,365.8068194510015,370.78999729800125,364.80657390600027,1,370.78999729800125,364.80657390600027,0.537280076998286,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
hummingbird,0,25,25,28,,,,,,,,,,,,,376.773312022,375.7907461450013,375.7907461450013,376.80684391699833,381.77327593299924,375.7907461450013,1,381.77327593299924,375.7907461450013,0.6488579990000289,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
necklace,0,26,26,12,,,,,,,,,,,,,387.75823810099973,386.7743844409997,386.7743844409997,387.77448955300133,392.75782795600026,386.7743844409997,2,392.75782795600026,386.7743844409997,1.6064690050006902,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
axe,0,27,27,0,,,,,,,,,,,,,398.74091844099894,397.757485058999,397.757485058999,398.75774504400033,403.74097364000045,397.757485058999,2,403.74097364000045,397.757485058999,0.6691932119974808,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
knight,0,28,28,38,,,,,,,,,,,,,409.7242425740005,419.72433583900056,408.74082827000166,409.7410258409982,414.725142203999,408.74082827000166,1,414.725142203999,408.74082827000166,2.2551732350002567,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
treadmill,0,29,29,16,,,,,,,,,,,,,420.7248911860006,None,419.7414702979986,420.7411159160001,425.7244696359994,419.7414702979986,2,425.7244696359994,419.7414702979986,0.9267343190003885,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
airplane,0,30,30,9,,,,,,,,,,,,,431.70773865199953,430.72377665599925,430.72377665599925,431.7240816000012,436.70774539099875,430.72377665599925,2,436.70774539099875,430.72377665599925,0.05454027599989786,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
grandfather,0,31,31,34,,,,,,,,,,,,,442.69205241099917,441.7082216659983,441.7082216659983,442.7082803990015,447.6915459849988,441.7082216659983,1,447.6915459849988,441.7082216659983,0.9807867800009262,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
violinist,0,32,32,39,,,,,,,,,,,,,453.67523306300063,452.6912558949989,452.6912558949989,453.6917109440001,458.6748881169988,452.6912558949989,1,458.6748881169988,452.6912558949989,0.6682796909990429,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
porcupine,0,33,33,22,,,,,,,,,,,,,464.6580524429992,463.67431761199987,463.67431761199987,464.67492927299827,469.6582014630003,463.67431761199987,1,469.6582014630003,463.67431761199987,1.2241102369989676,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
passport,0,34,34,4,,,,,,,,,,,,,475.6418884820014,474.6587550789991,474.6587550789991,475.65824209700077,480.6414866330015,474.6587550789991,2,480.6414866330015,474.6587550789991,1.422833137003181,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
ladybug,0,35,35,30,,,,,,,,,,,,,486.6243903989998,485.6414336359994,485.6414336359994,486.641303927001,491.6245574450004,485.6414336359994,1,491.6245574450004,485.6414336359994,1.0486558560005506,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
coyote,0,36,36,27,,,,,,,,,,,,,497.6246517079999,496.65660355,496.65660355,497.6578112349998,502.6241822669981,496.65660355,1,502.6241822669981,496.65660355,1.704113553998468,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
bulldozer,0,37,37,17,,,,,,,,,,,,,508.62432533299943,507.6240924060003,507.6240924060003,508.62432533299943,513.6243498479998,507.6240924060003,2,513.6243498479998,507.6240924060003,0.8400083240012464,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
binoculars,0,38,38,1,,,,,,,,,,,,,519.6253780689985,518.6250434989997,518.6250434989997,519.6253780689985,524.6250863140012,518.6250434989997,2,524.6250863140012,518.6250434989997,1.7872051519989327,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
swan,0,39,39,29,,,,,,,,,,,,,530.6088195439988,529.6249515210002,529.6249515210002,530.6255892359986,535.6087579890009,529.6249515210002,1,535.6087579890009,529.6249515210002,1.7065632840021863,,,subj010,001,2022_Jun_27_1332,item,3.2.3,59.98424573758595,
,,,,,,,,,,,,,,,,,,,,,,,,,,,540.6083998920003,None,,,,,,,
