Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,8.6511002010011,None,1,9.712043857005483,8.6511002010011,None,,,,,,,,,,,,,,,,,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
,,,,,,,,,,,18.385255852997943,None,5,18.021009964002587,18.385255852997943,None,,,,,,,,,,,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
cheerleader,0,0,0,32,,,,,,,,,,,,,37.45291065600031,None,36.46742135800014,37.46940502800135,42.45264601999952,None,None,42.45264601999952,None,,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
microscope,0,1,1,6,,,,,,,,,,,,,48.45269303099485,None,47.45189793299505,48.45269303099485,53.45275263799704,None,2,53.45275263799704,None,0.847468772000866,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
necklace,0,2,2,12,,,,,,,,,,,,,59.4359683579969,None,58.45280843100045,59.452831899994635,64.43602996299887,None,1,64.43602996299887,None,1.251106843999878,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
mirror,0,3,3,10,,,,,,,,,,,,,70.41925652899954,69.43629529499594,69.43629529499594,70.4360753449946,75.42032096700132,69.43629529499594,2,75.42032096700132,69.43629529499594,0.9809333299999707,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
violinist,0,4,4,39,,,,,,,,,,,,,81.4203592529957,80.4191522619949,80.4191522619949,81.4203592529957,86.42048827599501,80.4191522619949,1,86.42048827599501,80.4191522619949,1.0908082550013205,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
bulldozer,0,5,5,17,,,,,,,,,,,,,92.42021374999604,91.41973468299693,91.41973468299693,92.42021374999604,97.42010290799954,91.41973468299693,1,97.42010290799954,91.41973468299693,0.7442266209982336,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
hairstylist,0,6,6,37,,,,,,,,,,,,,103.4033324819975,102.42014238899719,102.42014238899719,103.42020467399561,108.40339620399754,102.42014238899719,1,108.40339620399754,102.42014238899719,0.5737176279944833,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
treadmill,0,7,7,16,,,,,,,,,,,,,114.38682756899652,113.40311035999912,113.40311035999912,114.40344534000178,119.38602192599501,113.40311035999912,1,119.38602192599501,113.40311035999912,0.5042212230036967,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
airplane,0,8,8,9,,,,,,,,,,,,,125.36969776999467,124.38656712899683,124.38656712899683,125.38669571699575,130.37012387900177,124.38656712899683,2,130.37012387900177,124.38656712899683,0.5241341050059418,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
crab,0,9,9,31,,,,,,,,,,,,,136.3529265449979,135.36914501999854,135.36914501999854,136.3701475889975,141.3524770189979,135.36914501999854,1,141.3524770189979,135.36914501999854,0.659833472003811,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
grandfather,0,10,10,34,,,,,,,,,,,,,147.3358766320016,146.35256312300044,146.35256312300044,147.3526776860017,152.3359341989999,146.35256312300044,1,152.3359341989999,146.35256312300044,0.32921948000148404,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
cabdriver,0,11,11,36,,,,,,,,,,,,,158.3206961659962,157.33581383899582,157.33581383899582,158.33688418599922,163.32012080899585,157.33581383899582,None,163.32012080899585,157.33581383899582,,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
elephant,0,12,12,21,,,,,,,,,,,,,169.30335591799667,168.3201124299958,168.3201124299958,169.32021790900035,174.3035006659993,168.3201124299958,1,174.3035006659993,168.3201124299958,0.645759592000104,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
donkey,0,13,13,23,,,,,,,,,,,,,180.2867384199999,179.3034847730014,179.3034847730014,180.30365116799658,185.2867857989986,179.3034847730014,1,185.2867857989986,179.3034847730014,0.9604591960014659,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
umbrella,0,14,14,5,,,,,,,,,,,,,191.27008111000032,190.28660208400106,190.28660208400106,191.28690545699646,196.26994309599831,190.28660208400106,2,196.26994309599831,190.28660208400106,0.49723195899423445,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
axe,0,15,15,0,,,,,,,,,,,,,202.25317838299816,201.2701845279953,201.2701845279953,202.2695468019956,207.2661136960014,201.2701845279953,2,207.2661136960014,201.2701845279953,0.7601620799978264,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
hair,0,16,16,8,,,,,,,,,,,,,213.24938620699686,223.2491003949981,212.2657021049963,213.26578038799926,218.25286045100074,212.2657021049963,1,218.25286045100074,212.2657021049963,0.5502899269995396,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
cheesecake,0,17,17,7,,,,,,,,,,,,,224.2490666829981,None,223.26569371300138,224.26581171499856,229.24903417300084,223.26569371300138,2,229.24903417300084,223.26569371300138,0.6632202269975096,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
ketchup,0,18,18,2,,,,,,,,,,,,,235.23225967799954,245.2322850549972,234.248924472995,235.24911932199757,240.23709837899514,234.248924472995,1,240.23709837899514,234.248924472995,0.3361735939979553,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
waterfall,0,19,19,18,,,,,,,,,,,,,246.23681389799458,None,245.24851710099756,246.25361080499715,251.23683068800165,245.24851710099756,1,251.23683068800165,245.24851710099756,0.6943319540005177,,,subj011,001,2022_Jul_20_1401,item,3.2.3,59.6546944102113,
