Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,6.7189233289973345,None,1,6.33615784200083,6.7189233289973345,None,,,,,,,,,,,,,,,,,,,subj011,001,2022_Jul_21_1355,item_20(VR),3.2.3,60.09868709228837,
,,,,,,,,,,,13.084916389998398,None,5,16.78141824799968,13.084916389998398,None,,,,,,,,,,,,,subj011,001,2022_Jul_21_1355,item_20(VR),3.2.3,60.09868709228837,
microscope,0,0,0,1,,,,,,,,,,,,,30.886147466000693,None,29.902882654998393,30.902023244998418,35.88628609499574,None,None,35.88628609499574,None,,,,subj011,001,2022_Jul_21_1355,item_20(VR),3.2.3,60.09868709228837,
mirror,0,1,1,11,,,,,,,,,,,,,41.869494376995135,None,40.886039771998185,41.88595497899951,46.86968703599996,None,None,46.86968703599996,None,,,,subj011,001,2022_Jul_21_1355,item_20(VR),3.2.3,60.09868709228837,
passport,0,2,2,16,,,,,,,,,,,,,52.852235209000355,51.8688348259966,51.8688348259966,52.86951712000155,57.85278335899784,51.8688348259966,None,57.85278335899784,51.8688348259966,,,,subj011,001,2022_Jul_21_1355,item_20(VR),3.2.3,60.09868709228837,
leopard,0,3,3,0,,,,,,,,,,,,,63.83586965499853,62.85220964499604,62.85220964499604,63.85285535099683,68.83594087699748,62.85220964499604,None,68.83594087699748,62.85220964499604,,,,subj011,001,2022_Jul_21_1355,item_20(VR),3.2.3,60.09868709228837,
knight,0,4,4,4,,,,,,,,,,,,,74.81918867399509,73.83641253899987,73.83641253899987,74.83548206299747,79.81961376300023,73.83641253899987,None,79.81961376300023,73.83641253899987,,,,subj011,001,2022_Jul_21_1355,item_20(VR),3.2.3,60.09868709228837,
ketchup,0,5,5,15,,,,,,,,,,,,,85.80249867699604,84.82011951599998,84.82011951599998,85.83553504199517,90.80282351299684,84.82011951599998,1,90.80282351299684,84.82011951599998,0.22944990800169762,,,subj011,001,2022_Jul_21_1355,item_20(VR),3.2.3,60.09868709228837,
ladybug,0,6,6,10,,,,,,,,,,,,,96.78569982699992,95.80296508299944,95.80296508299944,96.80294313099876,101.78691840999818,95.80296508299944,None,101.78691840999818,95.80296508299944,,,,subj011,001,2022_Jul_21_1355,item_20(VR),3.2.3,60.09868709228837,
baby,0,7,7,14,,,,,,,,,,,,,107.76921319499525,106.78692727899761,106.78692727899761,107.80229774699546,112.76929819399811,106.78692727899761,None,112.76929819399811,106.78692727899761,,,,subj011,001,2022_Jul_21_1355,item_20(VR),3.2.3,60.09868709228837,
waterfall,0,8,8,2,,,,,,,,,,,,,118.75243334599509,117.7697037609978,117.7697037609978,118.76909635099582,123.75263736600027,117.7697037609978,None,123.75263736600027,117.7697037609978,,,,subj011,001,2022_Jul_21_1355,item_20(VR),3.2.3,60.09868709228837,
chipmunk,0,9,9,18,,,,,,,,,,,,,129.73586886699923,128.7525949359988,128.7525949359988,129.75307176799834,134.73595126700093,128.7525949359988,None,134.73595126700093,128.7525949359988,,,,subj011,001,2022_Jul_21_1355,item_20(VR),3.2.3,60.09868709228837,
hummingbird,0,10,10,5,,,,,,,,,,,,,140.7363697269975,139.73610328300128,139.73610328300128,140.7363697269975,145.7364526579986,139.73610328300128,None,145.7364526579986,139.73610328300128,,,,subj011,001,2022_Jul_21_1355,item_20(VR),3.2.3,60.09868709228837,
axe,0,11,11,6,,,,,,,,,,,,,151.7197478559974,150.73665003800124,150.73665003800124,151.73552756799472,156.7198040239964,150.73665003800124,None,156.7198040239964,150.73665003800124,,,,subj011,001,2022_Jul_21_1355,item_20(VR),3.2.3,60.09868709228837,
porcupine,0,12,12,13,,,,,,,,,,,,,162.70382142200106,161.71958164699754,161.71958164699754,162.7191755179956,167.70312107299833,172.70310693599458,None,167.70312107299833,172.70310693599458,,,,subj011,001,2022_Jul_21_1355,item_20(VR),3.2.3,60.09868709228837,
hair,0,13,13,9,,,,,,,,,,,,,173.70233855999686,172.71925865199591,172.71925865199591,173.71921476499847,178.70297681499505,None,None,178.70297681499505,None,,,,subj011,001,2022_Jul_21_1355,item_20(VR),3.2.3,60.09868709228837,
necklace,0,14,14,3,,,,,,,,,,,,,184.68578657599573,183.70237252299557,183.70237252299557,184.70263714099565,189.68583598999976,183.70237252299557,None,189.68583598999976,183.70237252299557,,,,subj011,001,2022_Jul_21_1355,item_20(VR),3.2.3,60.09868709228837,
cheerleader,0,15,15,12,,,,,,,,,,,,,195.6691655139948,194.68576046499948,194.68576046499948,195.68670124399796,200.6690195389965,194.68576046499948,None,200.6690195389965,194.68576046499948,,,,subj011,001,2022_Jul_21_1355,item_20(VR),3.2.3,60.09868709228837,
