Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,8.12823175000085,None,1,2.331202821005718,8.12823175000085,None,,,,,,,,,,,,,,,,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
,,,,,,,,,,,10.47931272599817,None,5,17.13716432399815,10.47931272599817,None,,,,,,,,,,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
ketchup,0,0,0,15,,,,,,,,,,,,,28.647167196002556,None,27.662251954003295,28.66351532599947,33.647211503004655,None,None,33.647211503004655,None,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
baby,0,1,1,14,,,,,,,,,,,,,39.63050442199892,38.6472907530042,38.6472907530042,39.647677594002744,44.63029824000114,38.6472907530042,None,44.63029824000114,38.6472907530042,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
snowball,0,2,2,19,,,,,,,,,,,,,50.614769571999204,49.62996920900332,49.62996920900332,50.631160468001326,55.61434012200334,49.62996920900332,None,55.61434012200334,49.62996920900332,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
chipmunk,0,3,3,18,,,,,,,,,,,,,61.598027117004676,71.59736749000149,60.61406528200314,61.614399908998166,66.614390748,60.61406528200314,None,66.614390748,60.61406528200314,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
waterfall,0,4,4,2,,,,,,,,,,,,,72.59751939000125,None,71.61419917300373,72.61451850400044,77.59770778699749,71.61419917300373,None,77.59770778699749,71.61419917300373,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
necklace,0,5,5,3,,,,,,,,,,,,,83.58094574599818,82.59685256300145,82.59685256300145,83.5971953010012,88.5807936140045,82.59685256300145,None,88.5807936140045,82.59685256300145,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
hair,0,6,6,9,,,,,,,,,,,,,94.56398051600263,104.56365977200039,93.58049223099806,94.5812398449998,99.56519799400121,93.58049223099806,None,99.56519799400121,93.58049223099806,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
hummingbird,0,7,7,5,,,,,,,,,,,,,105.56376871300017,115.56496369899833,104.58068797900341,105.58135679100087,110.58143485400069,104.58068797900341,None,110.58143485400069,104.58068797900341,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
microscope,0,8,8,1,,,,,,,,,,,,,116.56497458599915,None,115.58008476500254,116.5817507669999,121.56478324800264,115.58008476500254,None,121.56478324800264,115.58008476500254,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
ladybug,0,9,9,10,,,,,,,,,,,,,127.54811589499877,126.56413386700297,126.56413386700297,127.5650783250021,132.54810004900355,126.56413386700297,None,132.54810004900355,126.56413386700297,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
passport,0,10,10,16,,,,,,,,,,,,,138.56077422700037,137.54670646600425,137.54670646600425,138.56077422700037,143.53140609800175,148.53082923900365,None,143.53140609800175,148.53082923900365,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
axe,0,11,11,6,,,,,,,,,,,,,149.54799919100333,148.56360047199996,148.56360047199996,149.5646420539997,154.54801341499842,None,None,154.54801341499842,None,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
treadmill,0,12,12,17,,,,,,,,,,,,,160.53088783600106,159.54726506500447,159.54726506500447,160.5473018699995,165.53061451000394,159.54726506500447,None,165.53061451000394,159.54726506500447,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
porcupine,0,13,13,13,,,,,,,,,,,,,171.52688480700454,170.54364519200317,170.54364519200317,171.54359360400122,176.52674514100363,170.54364519200317,None,176.52674514100363,170.54364519200317,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
mirror,0,14,14,11,,,,,,,,,,,,,182.51020000500284,181.52662614099972,181.52662614099972,182.52694392800186,187.51013705199875,181.52662614099972,None,187.51013705199875,181.52662614099972,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
knight,0,15,15,4,,,,,,,,,,,,,193.4933234390046,203.48072931500064,192.5101766470034,193.51022541300335,198.509396776004,192.5101766470034,None,198.509396776004,192.5101766470034,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
cabdriver,0,16,16,8,,,,,,,,,,,,,204.5265433750028,214.52572519599926,203.514348470002,204.5265433750028,209.56357222500083,203.514348470002,None,209.56357222500083,203.514348470002,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
cheerleader,0,17,17,12,,,,,,,,,,,,,215.559823470001,225.5594317790019,214.5760642210007,215.5639542429999,220.57628875700175,214.5760642210007,None,220.57628875700175,214.5760642210007,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
leopard,0,18,18,0,,,,,,,,,,,,,226.5762960830034,None,225.57625896800164,226.5762960830034,231.5643526030035,236.57562806700298,None,231.5643526030035,236.57562806700298,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
grandfather,0,19,19,7,,,,,,,,,,,,,237.57595786599995,236.59277879800356,236.59277879800356,237.59278764000192,242.56377531799808,None,None,242.56377531799808,None,,,subj011,001,2022_Jul_21_1400,item_20(VR),3.2.3,60.15375685272038,
,,,,,,,,,,,,,,,,,,,,,,,,,,247.57602251200296,None,,,,,,,
