Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,8.604670526998234,None,1,17.166979524001363,8.604670526998234,None,,,,,,,,,,,,,,,,,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
,,,,,,,,,,,25.78840263500024,None,5,16.838371247002215,25.78840263500024,None,,,,,,,,,,,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
mirror,0,0,0,11,,,,,,,,,,,,,43.65504332799901,None,42.67105250599707,43.671226960999775,48.655045589999645,None,None,48.655045589999645,None,,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
hummingbird,0,1,1,5,,,,,,,,,,,,,54.65465981599846,53.65374741300184,53.65374741300184,54.65465981599846,59.65471890399931,53.65374741300184,None,59.65471890399931,53.65374741300184,,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
passport,0,2,2,16,,,,,,,,,,,,,65.63794598200184,64.65423892399849,64.65423892399849,65.65473879899946,70.63764742700005,64.65423892399849,2,70.63764742700005,64.65423892399849,1.7881133910050266,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
leopard,0,3,3,0,,,,,,,,,,,,,76.6209921539994,75.63788945099805,75.63788945099805,76.63803737099806,81.62124925100215,75.63788945099805,1,81.62124925100215,75.63788945099805,0.7115079119976144,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
ketchup,0,4,4,15,,,,,,,,,,,,,87.60433309200016,86.62106534699706,86.62106534699706,87.62074447100167,92.60450158899766,86.62106534699706,2,92.60450158899766,86.62106534699706,0.8612888739953632,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
treadmill,0,5,5,17,,,,,,,,,,,,,98.58765356399817,97.60385883099661,97.60385883099661,98.60441374599759,103.58763015500153,97.60385883099661,2,103.58763015500153,97.60385883099661,0.45197242200083565,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
waterfall,0,6,6,2,,,,,,,,,,,,,109.57100222200097,108.58789231999981,108.58789231999981,109.58770639800059,114.57104127899947,108.58789231999981,2,114.57104127899947,108.58789231999981,1.7577006349965814,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
knight,0,7,7,4,,,,,,,,,,,,,120.55434332200093,119.57070016599755,119.57070016599755,120.57072994099872,125.5543017739983,119.57070016599755,1,125.5543017739983,119.57070016599755,0.6404740020007011,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
hair,0,8,8,9,,,,,,,,,,,,,131.5387667699979,130.55389791700145,130.55389791700145,131.55563323599927,136.53883313100232,130.55389791700145,2,136.53883313100232,130.55389791700145,0.4069450559982215,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
microscope,0,9,9,1,,,,,,,,,,,,,142.52206734500214,141.53799630200228,141.53799630200228,142.5382618500007,147.52155428400147,141.53799630200228,2,147.52155428400147,141.53799630200228,1.8052199439989636,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
porcupine,0,10,10,13,,,,,,,,,,,,,153.50517928400222,152.52209341800335,152.52209341800335,153.52160770000046,158.5048411759999,152.52209341800335,1,158.5048411759999,152.52209341800335,1.4799047929991502,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
cabdriver,0,11,11,8,,,,,,,,,,,,,164.50474623100308,163.53653498399945,163.53653498399945,164.53836178900383,169.5049503449991,163.53653498399945,1,169.5049503449991,163.53653498399945,0.8948285950027639,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
chipmunk,0,12,12,18,,,,,,,,,,,,,175.48825314900023,174.50528417799796,174.50528417799796,175.5050742809981,180.48831830499694,174.50528417799796,1,180.48831830499694,174.50528417799796,0.8353407369941124,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
grandfather,0,13,13,7,,,,,,,,,,,,,186.47132067000348,185.48855379199813,185.48855379199813,186.48944461400242,191.4726565919991,185.48855379199813,1,191.4726565919991,185.48855379199813,0.6631061880034395,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
axe,0,14,14,6,,,,,,,,,,,,,197.45578353999736,196.47188558000198,196.47188558000198,197.47252836300322,202.45586786799686,196.47188558000198,2,202.45586786799686,196.47188558000198,0.37787178500002483,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
necklace,0,15,15,3,,,,,,,,,,,,,208.43906745099957,207.45528351300163,207.45528351300163,208.45593314099824,213.43922980400384,207.45528351300163,2,213.43922980400384,207.45528351300163,0.4314244300039718,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
ladybug,0,16,16,10,,,,,,,,,,,,,219.4224067489995,229.4220164990038,218.4386035150019,219.43920272299874,224.4388006320005,218.4386035150019,1,224.4388006320005,218.4386035150019,0.3379617489990778,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
baby,0,17,17,14,,,,,,,,,,,,,230.42192700000305,None,229.43863144399802,230.43885579799826,235.42199187599908,229.43863144399802,1,235.42199187599908,229.43863144399802,1.0357577780014253,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
snowball,0,18,18,19,,,,,,,,,,,,,241.40517081500002,240.4213488930036,240.4213488930036,241.42194860600284,246.40527607100375,240.4213488930036,2,246.40527607100375,240.4213488930036,1.7735077379984432,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
cheerleader,0,19,19,12,,,,,,,,,,,,,252.38849451299757,251.40464864100068,251.40464864100068,252.405298701,257.3885062469999,251.40464864100068,1,257.3885062469999,251.40464864100068,2.187222203996498,,,subj014,001,2022_Oct_03_1800,item_20(VR),3.2.3,59.876204869620786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,262.3880666940022,None,,,,,,,
