Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,6.213789850007743,None,1,18.322339089994784,6.213789850007743,None,,,,,,,,,,,,,,,,,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
,,,,,,,,,,,24.56423356900632,None,5,17.551786302006803,24.56423356900632,None,,,,,,,,,,,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
hair,0,0,0,8,,,,,,,,,,,,,43.14815099800762,None,42.15110009799537,43.14815099800762,48.148160644006566,None,None,48.148160644006566,None,,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
passport,0,1,1,4,,,,,,,,,,,,,54.14775369799463,None,53.163856540995766,54.16398367000511,59.147594883004786,None,2,59.147594883004786,None,1.8404981600033352,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
bulldozer,0,2,2,17,,,,,,,,,,,,,65.14842649400816,64.14770164800575,64.14770164800575,65.14842649400816,70.14771699500852,64.14770164800575,2,70.14771699500852,64.14770164800575,1.0362431720132008,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
porcupine,0,3,3,22,,,,,,,,,,,,,76.13097780500539,75.14777109300485,75.14777109300485,76.14778828300769,81.1318725769961,75.14777109300485,1,81.1318725769961,75.14777109300485,3.2882455280050635,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
ketchup,0,4,4,2,,,,,,,,,,,,,87.11516540999583,86.13113129099656,86.13113129099656,87.1313843740063,92.11474260500108,86.13113129099656,None,92.11474260500108,86.13113129099656,,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
stove,0,5,5,13,,,,,,,,,,,,,98.1005390950013,97.1145489240007,97.1145489240007,98.11475026600237,103.09852942499856,108.09817968400603,2,103.09852942499856,108.09817968400603,4.59746541599452,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
cheerleader,0,6,6,32,,,,,,,,,,,,,109.09785706800176,108.11497713699646,108.11497713699646,109.11499067599652,114.09779352300393,None,1,114.09779352300393,None,2.434223591000773,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
platypus,0,7,7,35,,,,,,,,,,,,,120.08152422800777,119.0973640519951,119.0973640519951,120.09759487099655,125.08157553699857,119.0973640519951,1,125.08157553699857,119.0973640519951,2.91157574900717,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
hummingbird,0,8,8,28,,,,,,,,,,,,,131.0813036269974,130.0806379239948,130.0806379239948,131.0813036269974,136.0808913649962,130.0806379239948,1,136.0808913649962,130.0806379239948,4.212219073000597,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
chipmunk,0,9,9,26,,,,,,,,,,,,,142.06501467300404,141.081913824004,141.081913824004,142.0818915169948,147.0651197450061,141.081913824004,1,147.0651197450061,141.081913824004,2.9688456680014497,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
waterfall,0,10,10,18,,,,,,,,,,,,,153.048403615001,152.06399546000466,152.06399546000466,153.06525869699544,158.0485286720068,152.06399546000466,2,158.0485286720068,152.06399546000466,2.885464356993907,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
seahorse,0,11,11,33,,,,,,,,,,,,,164.03173734199663,163.04858313599834,163.04858313599834,164.0477632300026,169.031061133006,163.04858313599834,1,169.031061133006,163.04858313599834,2.5930720680044033,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
binoculars,0,12,12,1,,,,,,,,,,,,,175.0149671130057,174.0317600989947,174.0317600989947,175.03105126699666,180.01428666399443,174.0317600989947,2,180.01428666399443,174.0317600989947,4.902669574003085,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
baby,0,13,13,20,,,,,,,,,,,,,185.99818910499744,185.01438132900512,185.01438132900512,186.01445727300597,190.99756551500468,185.01438132900512,1,190.99756551500468,185.01438132900512,3.0766057709988672,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
necklace,0,14,14,12,,,,,,,,,,,,,196.98137151400442,195.9985255000065,195.9985255000065,196.9978569100058,201.98093457199866,195.9985255000065,2,201.98093457199866,195.9985255000065,1.9790624089946505,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
cheesecake,0,15,15,7,,,,,,,,,,,,,207.96501621700008,206.9818601510051,206.9818601510051,207.98102196700347,212.96513681100623,206.9818601510051,2,212.96513681100623,206.9818601510051,3.604977687005885,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
snowball,0,16,16,14,,,,,,,,,,,,,218.9484836860065,217.96516421600245,217.96516421600245,218.96526958800678,223.94764210299763,217.96516421600245,2,223.94764210299763,217.96516421600245,2.3054520379955648,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
mirror,0,17,17,10,,,,,,,,,,,,,229.93138593999902,228.9486689100013,228.9486689100013,229.94868079900334,234.9310722250084,228.9486689100013,1,234.9310722250084,228.9486689100013,1.896102824000991,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
hairstylist,0,18,18,37,,,,,,,,,,,,,240.9150226530037,239.93086475599557,239.93086475599557,240.93119169700367,245.91433519699785,239.93086475599557,2,245.91433519699785,239.93086475599557,3.9588129579933593,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
scalpel,0,19,19,19,,,,,,,,,,,,,251.89795738100656,250.91525437800738,250.91525437800738,251.91446947799705,256.89762308599893,250.91525437800738,2,256.89762308599893,250.91525437800738,3.318362663005246,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
grandfather,0,20,20,34,,,,,,,,,,,,,262.88150253900676,261.8987016220053,261.8987016220053,262.8986931010004,267.8819083720009,261.8987016220053,1,267.8819083720009,261.8987016220053,4.693200619003619,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
treadmill,0,21,21,16,,,,,,,,,,,,,273.86507235300087,272.8809877599997,272.8809877599997,273.88120137300575,278.86532974599686,272.8809877599997,2,278.86532974599686,272.8809877599997,3.3087989409978036,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
leopard,0,22,22,24,,,,,,,,,,,,,284.8482715410064,283.8645375990018,283.8645375990018,284.86467160600296,289.84820227499586,283.8645375990018,2,289.84820227499586,283.8645375990018,2.231887178000761,,,subj015,001,2022_Sep_18_1751,item,3.2.3,59.91150830744186,
