Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,8.621222779009258,None,1,4.423856348003028,8.621222779009258,None,,,,,,,,,,,,,,,,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
,,,,,,,,,,,13.07460495099076,None,5,38.98066796900821,13.07460495099076,None,,,,,,,,,,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
treadmill,0,0,0,16,,,,,,,,,,,,,53.07527732200106,None,52.08809921698412,53.092231351009104,58.07524861898855,None,None,58.07524861898855,None,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
hummingbird,0,1,1,28,,,,,,,,,,,,,64.07524577199365,None,63.075372207997134,64.07524577199365,69.07160990699776,74.07168592998642,None,69.07160990699776,74.07168592998642,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
microscope,0,2,2,6,,,,,,,,,,,,,75.08799932998954,None,74.0875995910028,75.08799932998954,80.08803072600858,None,None,80.08803072600858,None,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
elephant,0,3,3,21,,,,,,,,,,,,,86.07130247898749,96.07139187600114,85.08803291400545,86.0881114419899,91.08810377700138,None,None,91.08810377700138,None,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
coyote,0,4,4,27,,,,,,,,,,,,,97.07137498099473,None,96.08756704098778,97.0877068710106,102.07584801100893,None,None,102.07584801100893,None,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
hair,0,5,5,8,,,,,,,,,,,,,108.05909483699361,None,107.0749514309864,108.07600028399611,113.05922311299946,None,None,113.05922311299946,None,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
passport,0,6,6,4,,,,,,,,,,,,,119.04213690699544,118.05926903299405,118.05926903299405,119.05932736600516,124.04223431900027,118.05926903299405,None,124.04223431900027,118.05926903299405,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
donkey,0,7,7,23,,,,,,,,,,,,,130.04228622399387,129.05371190200094,129.05371190200094,130.05946616100846,135.04223794100108,129.05371190200094,None,135.04223794100108,129.05371190200094,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
stove,0,8,8,13,,,,,,,,,,,,,141.03746001800755,140.05369921401143,140.05369921401143,141.05372239800636,146.03720815799898,140.05369921401143,None,146.03720815799898,140.05369921401143,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
platypus,0,9,9,35,,,,,,,,,,,,,152.02048118799576,162.0263422630087,151.03720787298516,152.03691688599065,157.03722879401175,151.03720787298516,None,157.03722879401175,151.03720787298516,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
binoculars,0,10,10,1,,,,,,,,,,,,,163.02627622301225,None,162.04264435599907,163.0427431220014,168.02633945498383,162.04264435599907,None,168.02633945498383,162.04264435599907,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
