Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,6.196107942996605,None,1,4.087624940999376,6.196107942996605,None,,,,,,,,,,,,,,,,,,,subj017,001,2022_Oct_03_1055,item_20(VR),3.2.3,59.97552626777398,
,,,,,,,,,,,10.303669389999413,None,5,18.736264491999464,10.303669389999413,None,,,,,,,,,,,,,subj017,001,2022_Oct_03_1055,item_20(VR),3.2.3,59.97552626777398,
waterfall,0,0,0,2,,,,,,,,,,,,,30.054567721999774,None,29.071483214996988,30.071895927998412,35.05543975899491,None,2,0.9753384750001715,35.05543975899491,None,,,subj017,001,2022_Oct_03_1055,item_20(VR),3.2.3,59.97552626777398,
treadmill,0,1,1,17,,,,,,,,,,,,,41.054800088000775,40.054853921996255,40.054853921996255,41.054800088000775,46.04722906000097,40.054853921996255,2,0.8676725709956372,46.04722906000097,40.054853921996255,,,subj017,001,2022_Oct_03_1055,item_20(VR),3.2.3,59.97552626777398,
cabdriver,0,2,2,8,,,,,,,,,,,,,52.038139742995554,51.05511330199806,51.05511330199806,52.06407245999435,57.03819771800045,51.05511330199806,1,1.770693234000646,57.03819771800045,51.05511330199806,,,subj017,001,2022_Oct_03_1055,item_20(VR),3.2.3,59.97552626777398,
grandfather,0,3,3,7,,,,,,,,,,,,,63.03051438399416,62.04669449899666,62.04669449899666,63.04681028599589,68.03872825899452,62.04669449899666,1,0.6310736110026482,68.03872825899452,62.04669449899666,,,subj017,001,2022_Oct_03_1055,item_20(VR),3.2.3,59.97552626777398,
leopard,0,4,4,0,,,,,,,,,,,,,74.02154087799863,73.03882573699957,73.03882573699957,74.03889984700072,79.02210837099847,73.03882573699957,1,1.3377819140005158,79.02210837099847,73.03882573699957,,,subj017,001,2022_Oct_03_1055,item_20(VR),3.2.3,59.97552626777398,
hair,0,5,5,9,,,,,,,,,,,,,85.00516638800036,84.03021520699986,84.03021520699986,85.0386181119975,90.00545838299877,84.03021520699986,2,0.7263097339964588,90.00545838299877,84.03021520699986,,,subj017,001,2022_Oct_03_1055,item_20(VR),3.2.3,59.97552626777398,
mirror,0,6,6,11,,,,,,,,,,,,,95.98838763299864,95.01281681999535,95.01281681999535,96.02979933499591,100.98876590799773,95.01281681999535,2,0.540076950994262,100.98876590799773,95.01281681999535,,,subj017,001,2022_Oct_03_1055,item_20(VR),3.2.3,59.97552626777398,
ladybug,0,7,7,10,,,,,,,,,,,,,106.97984347299644,105.9885515299975,105.9885515299975,106.99661709599604,111.97992647199862,105.9885515299975,1,0.617002341998159,111.97992647199862,105.9885515299975,,,subj017,001,2022_Oct_03_1055,item_20(VR),3.2.3,59.97552626777398,
necklace,0,8,8,3,,,,,,,,,,,,,117.97227031399962,127.97154038999724,116.98854649699933,117.99629220899806,122.97959086400078,116.98854649699933,2,2.355343855000683,122.97959086400078,116.98854649699933,,,subj017,001,2022_Oct_03_1055,item_20(VR),3.2.3,59.97552626777398,
porcupine,0,9,9,13,,,,,,,,,,,,,128.97232542499842,None,127.99651098599861,129.00558078899485,133.97168477399828,127.99651098599861,1,0.7151158549968386,133.97168477399828,127.99651098599861,,,subj017,001,2022_Oct_03_1055,item_20(VR),3.2.3,59.97552626777398,
cheerleader,0,10,10,12,,,,,,,,,,,,,139.95564151899453,149.95543198299856,138.97912445999827,139.99606217799737,144.96286513399536,138.97912445999827,1,0.45903379099763697,144.96286513399536,138.97912445999827,,,subj017,001,2022_Oct_03_1055,item_20(VR),3.2.3,59.97552626777398,
snowball,0,11,11,19,,,,,,,,,,,,,150.9555049240007,160.9555903340006,149.9722924509988,150.97227101199678,155.96255311799905,149.9722924509988,2,0.527339303996996,155.96255311799905,149.9722924509988,,,subj017,001,2022_Oct_03_1055,item_20(VR),3.2.3,59.97552626777398,
passport,0,12,12,16,,,,,,,,,,,,,161.9619419449955,None,160.97176516999752,161.97242662499775,166.96260347399948,160.97176516999752,2,1.2611700309935259,166.96260347399948,160.97176516999752,,,subj017,001,2022_Oct_03_1055,item_20(VR),3.2.3,59.97552626777398,
