Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,7.937215676000051,None,1,2.1486605269965366,7.937215676000051,None,,,,,,,,,,,,,,,,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
,,,,,,,,,,,10.103437185003713,None,5,19.04759504800313,10.103437185003713,None,,,,,,,,,,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
chipmunk,0,0,0,26,,,,,,,,,,,,,30.171236306006904,None,29.176393682006164,30.188400605002244,35.1717385400043,None,None,35.1717385400043,None,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
baby,0,1,1,20,,,,,,,,,,,,,41.1713014640045,40.17060843500076,40.17060843500076,41.1713014640045,46.1606584580004,51.15542381200066,None,46.1606584580004,51.15542381200066,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
snowball,0,2,2,14,,,,,,,,,,,,,52.160730359006266,51.17165813700558,51.17165813700558,52.17190835100337,57.155185330004315,62.15520444600406,None,57.155185330004315,62.15520444600406,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
camera,0,3,3,3,,,,,,,,,,,,,63.155273511001724,62.17699531400285,62.17699531400285,63.18861201500113,68.15514610200626,None,None,68.15514610200626,None,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
waterfall,0,4,4,18,,,,,,,,,,,,,74.14378709300217,84.13871761900373,73.16037399900233,74.15527259400551,79.15551404400321,73.16037399900233,None,79.15551404400321,73.16037399900233,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
walrus,0,5,5,25,,,,,,,,,,,,,85.13876886600337,None,84.1548297219997,85.1555191830048,90.13883035000617,84.1548297219997,None,90.13883035000617,84.1548297219997,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
crab,0,6,6,31,,,,,,,,,,,,,96.12627286500356,95.13888521300396,95.13888521300396,96.1388909390007,101.12137866500416,106.12641805600288,None,101.12137866500416,106.12641805600288,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
seahorse,0,7,7,33,,,,,,,,,,,,,107.12581017300545,106.1386499729997,106.1386499729997,107.13859324200166,112.12175553400448,117.12642714300455,None,112.12175553400448,117.12642714300455,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
binoculars,0,8,8,1,,,,,,,,,,,,,118.12184581100155,128.1219174420039,117.13736573000642,118.1390180870003,123.14298470300128,None,None,123.14298470300128,None,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
umbrella,0,9,9,5,,,,,,,,,,,,,129.13821416700375,None,128.15502439900592,129.15533579400653,134.13869486400654,128.15502439900592,None,134.13869486400654,128.15502439900592,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
swan,0,10,10,29,,,,,,,,,,,,,140.12147771200398,150.12158130800526,139.13835379300144,140.13870429000235,145.1264635700063,139.13835379300144,None,145.1264635700063,139.13835379300144,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
elephant,0,11,11,21,,,,,,,,,,,,,151.12205482100399,161.12221445100295,150.13860193000437,151.1388689880041,156.126163121,150.13860193000437,1,156.126163121,150.13860193000437,4.4437291599970195,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
microscope,0,12,12,6,,,,,,,,,,,,,162.1222079230065,None,161.14291682900512,162.15540105700347,167.1214538560016,161.14291682900512,None,167.1214538560016,161.14291682900512,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
airplane,0,13,13,9,,,,,,,,,,,,,173.10554983700422,172.1212927910019,172.1212927910019,173.12232508000307,178.10568055600015,172.1212927910019,None,178.10568055600015,172.1212927910019,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
violinist,0,14,14,39,,,,,,,,,,,,,184.0888769170051,183.10504314800346,183.10504314800346,184.1087997020004,189.08822519800015,183.10504314800346,None,189.08822519800015,183.10504314800346,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
hairstylist,0,15,15,37,,,,,,,,,,,,,195.07226310999977,194.08838218200253,194.08838218200253,195.0921691370022,200.07156862100237,194.08838218200253,None,200.07156862100237,194.08838218200253,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
cheesecake,0,16,16,7,,,,,,,,,,,,,206.05562766100047,205.07251227000233,205.07251227000233,206.07165801700467,211.05571201000566,205.07251227000233,None,211.05571201000566,205.07251227000233,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
ladybug,0,17,17,30,,,,,,,,,,,,,217.0389761080005,216.05517518100532,216.05517518100532,217.05578877100197,222.03905171400402,216.05517518100532,None,222.03905171400402,216.05517518100532,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
leopard,0,18,18,24,,,,,,,,,,,,,228.03820399899996,227.0383533120039,227.0383533120039,228.03820399899996,233.0222571810009,238.0224793850066,None,233.0222571810009,238.0224793850066,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
axe,0,19,19,0,,,,,,,,,,,,,239.02450125600444,238.0381596590014,238.0381596590014,239.03887932600628,244.0245205290048,None,None,244.0245205290048,None,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
ketchup,0,20,20,2,,,,,,,,,,,,,250.02188178200595,249.03868706300273,249.03868706300273,250.0385712790012,255.02192882000236,249.03868706300273,None,255.02192882000236,249.03868706300273,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
stove,0,21,21,13,,,,,,,,,,,,,261.0052432090015,260.02238665200275,260.02238665200275,261.02237266700104,266.0056660380069,260.02238665200275,None,266.0056660380069,260.02238665200275,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
bulldozer,0,22,22,17,,,,,,,,,,,,,271.988433823004,271.005513408003,271.005513408003,272.00565089000156,276.98899613200047,271.005513408003,None,276.98899613200047,271.005513408003,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
passport,0,23,23,4,,,,,,,,,,,,,282.97231034900324,281.98904206700536,281.98904206700536,282.98904142500396,287.97189730500395,281.98904206700536,None,287.97189730500395,281.98904206700536,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
coyote,0,24,24,27,,,,,,,,,,,,,293.9555577650026,303.95578140900034,292.97141665399977,293.9724211110006,298.98922772500373,292.97141665399977,None,298.98922772500373,292.97141665399977,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
donkey,0,25,25,23,,,,,,,,,,,,,304.97264190200076,None,303.9889776120035,304.9890231330064,309.97180418800417,303.9889776120035,None,309.97180418800417,303.9889776120035,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
porcupine,0,26,26,22,,,,,,,,,,,,,315.9558441670015,314.9718670490038,314.9718670490038,315.97246073000133,320.955207720006,314.9718670490038,1,320.955207720006,314.9718670490038,4.360777116999088,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
grandfather,0,27,27,34,,,,,,,,,,,,,326.939355237002,325.95532272499986,325.95532272499986,326.95532183000614,331.9394027210001,325.95532272499986,None,331.9394027210001,325.95532272499986,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
hair,0,28,28,8,,,,,,,,,,,,,337.92184028800693,336.9386386210026,336.9386386210026,337.93915834400104,342.92280078200565,336.9386386210026,None,342.92280078200565,336.9386386210026,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
cabdriver,0,29,29,36,,,,,,,,,,,,,348.905186613003,347.9219606170009,347.9219606170009,348.9220054410034,353.9059347220027,347.9219606170009,None,353.9059347220027,347.9219606170009,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
knight,0,30,30,38,,,,,,,,,,,,,359.8893631060055,358.9053047690031,358.9053047690031,359.9055451870008,364.889016044006,358.9053047690031,None,364.889016044006,358.9053047690031,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
necklace,0,31,31,12,,,,,,,,,,,,,370.8726754550007,369.88859303100617,369.88859303100617,370.8885992610012,375.8718396530021,369.88859303100617,None,375.8718396530021,369.88859303100617,,,,subj018,001,2022_Oct_09_1737,item,3.2.3,60.1078615133456,
