Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,7.89920623000944,None,1,25.98120181899867,7.89920623000944,None,,,,,,,,,,,,,,,,,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
,,,,,,,,,,,33.910631674021715,None,5,26.918765845010057,33.910631674021715,None,,,,,,,,,,,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
waterfall,0,0,0,18,,,,,,,,,,,,,61.85032015101751,71.84968972901697,60.86649388400838,61.8670098130242,66.86041058599949,None,None,66.86041058599949,None,,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
axe,0,1,1,0,,,,,,,,,,,,,72.84989430801943,None,71.86648528001388,72.86679877201095,77.85071704402799,None,2,77.85071704402799,None,1.5075900250230916,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
umbrella,0,2,2,5,,,,,,,,,,,,,83.84985660400707,None,82.84986716302228,83.84985660400707,88.84324652701616,None,2,88.84324652701616,None,1.4791488159971777,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
airplane,0,3,3,9,,,,,,,,,,,,,94.84330699100974,93.85957614899962,93.85957614899962,94.85025921100168,99.83338902701507,93.85957614899962,2,99.83338902701507,93.85957614899962,1.6158598969923332,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
scalpel,0,4,4,19,,,,,,,,,,,,,105.8335010020237,104.84272055700421,104.84272055700421,105.85024339100346,110.82612403202802,104.84272055700421,2,110.82612403202802,104.84272055700421,2.080324858019594,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
mirror,0,5,5,10,,,,,,,,,,,,,116.83305048101465,115.84215129702352,115.84215129702352,116.84992459902423,121.82618858502246,115.84215129702352,2,121.82618858502246,115.84215129702352,1.6721145839837845,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
porcupine,0,6,6,22,,,,,,,,,,,,,127.81720892500016,126.83326458901865,126.83326458901865,127.83351671000128,132.81641932501225,126.83326458901865,1,132.81641932501225,126.83326458901865,0.9358264979964588,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
stove,0,7,7,13,,,,,,,,,,,,,138.80044849202386,148.80030066301697,137.81671333301347,138.81698071901337,143.8090546860185,137.81671333301347,2,143.8090546860185,137.81671333301347,1.3053924779815134,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
walrus,0,8,8,25,,,,,,,,,,,,,149.80912846600404,None,148.82597934501246,149.82597451802576,154.80033548502252,159.79972265000106,1,154.80033548502252,159.79972265000106,0.9770969089877326,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
keyboard,0,9,9,15,,,,,,,,,,,,,160.8003312520159,170.7998553450161,159.81625051001902,160.8164540270227,165.80878286002553,None,2,165.80878286002553,None,1.6636647570121568,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
passport,0,10,10,4,,,,,,,,,,,,,171.8089184250275,None,170.81709196500015,171.82571008702507,176.80890029401053,170.81709196500015,2,176.80890029401053,170.81709196500015,1.4875312270014547,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
knight,0,11,11,38,,,,,,,,,,,,,182.80003925500205,181.8251717540261,181.8251717540261,182.84210024701315,187.80042999400757,181.8251717540261,1,187.80042999400757,181.8251717540261,1.8419819049886428,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
ketchup,0,12,12,2,,,,,,,,,,,,,193.7832499880169,192.80861249900772,192.80861249900772,193.81654528301442,198.7833652140107,192.80861249900772,2,198.7833652140107,192.80861249900772,2.1980438040045556,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
baby,0,13,13,20,,,,,,,,,,,,,204.76673632801976,203.78293626900995,203.78293626900995,204.7831203980022,209.77495143102715,203.78293626900995,1,209.77495143102715,203.78293626900995,2.286421783006517,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
fingerprint,0,14,14,11,,,,,,,,,,,,,215.76733072299976,214.77506408002228,214.77506408002228,215.76733072299976,220.7582441230188,225.75055101700127,2,220.7582441230188,225.75055101700127,1.6850740640074946,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
treadmill,0,15,15,16,,,,,,,,,,,,,226.75011373401503,225.76665807300014,225.76665807300014,226.7673585980083,231.75064396701055,None,2,231.75064396701055,None,2.9567873180203605,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
elephant,0,16,16,21,,,,,,,,,,,,,237.73370363001595,247.73327374600922,236.75068346600165,237.75001306002378,242.74185122500057,236.75068346600165,1,242.74185122500057,236.75068346600165,2.572452782012988,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
microscope,0,17,17,6,,,,,,,,,,,,,248.73407730800682,258.733455108013,247.75805782800307,248.77449971201713,253.74128495002515,247.75805782800307,2,253.74128495002515,247.75805782800307,0.9340179479913786,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
cabdriver,0,18,18,36,,,,,,,,,,,,,259.74131187199964,None,258.75039965700125,259.7506491380045,264.7339167560276,269.7339489030128,1,264.7339167560276,269.7339489030128,1.7184816289809532,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
hairstylist,0,19,19,37,,,,,,,,,,,,,270.7339414980088,269.7508077880193,269.7508077880193,270.75780803200905,275.7340494750242,None,1,275.7340494750242,None,1.4692137780075427,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
cheerleader,0,20,20,32,,,,,,,,,,,,,281.7173455180018,291.71746277302736,280.7404240790056,281.75726987302187,286.7241608380282,280.7404240790056,1,286.7241608380282,280.7404240790056,1.5732523449987639,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
coyote,0,21,21,27,,,,,,,,,,,,,292.71673814201495,None,291.734242585022,292.7343164970225,297.71693228700315,291.734242585022,1,297.71693228700315,291.734242585022,3.0714586219983175,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
grandfather,0,22,22,34,,,,,,,,,,,,,303.7008208160114,302.7168280350161,302.7168280350161,303.71722556400346,308.7001244390267,302.7168280350161,1,308.7001244390267,302.7168280350161,1.015278787992429,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
bulldozer,0,23,23,17,,,,,,,,,,,,,314.6839232420025,324.6835880660219,313.70716185701895,314.7169652470038,319.7005133840139,313.70716185701895,2,319.7005133840139,313.70716185701895,2.2228201539837755,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
