Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,6.049390072999813,None,1,10.882345607000389,6.049390072999813,None,,,,,,,,,,,,,,,,,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
,,,,,,,,,,,16.95054901900039,None,5,17.872412439000982,16.95054901900039,None,,,,,,,,,,,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
violinist,0,0,0,39,,,,,,,,,,,,,35.8683858860004,None,34.88346255500073,35.885060768001495,40.86843143900114,None,None,40.86843143900114,None,,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
passport,0,1,1,4,,,,,,,,,,,,,46.85186192100082,None,45.868671903001086,46.86804921200019,51.85172368900021,None,2,51.85172368900021,None,0.7952189709994855,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
snowball,0,2,2,14,,,,,,,,,,,,,57.83496128400111,56.85220199500145,56.85220199500145,57.8511764520008,62.83604337500037,56.85220199500145,None,62.83604337500037,56.85220199500145,,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
axe,0,3,3,0,,,,,,,,,,,,,68.81935776099999,67.83528720600043,67.83528720600043,68.83601755900054,73.81943021900042,67.83528720600043,None,73.81943021900042,67.83528720600043,,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
camera,0,4,4,3,,,,,,,,,,,,,79.80245922600079,78.81871472800049,78.81871472800049,79.81892954000068,84.80218969700036,78.81871472800049,2,84.80218969700036,78.81871472800049,1.602698265998697,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
fingerprint,0,5,5,11,,,,,,,,,,,,,90.78574868900068,89.80114525000135,89.80114525000135,90.8022150300003,95.78548331400089,89.80114525000135,2,95.78548331400089,89.80114525000135,0.4672977249992982,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
umbrella,0,6,6,5,,,,,,,,,,,,,101.76859086200056,100.78433998699984,100.78433998699984,101.78535622399977,106.7685192959998,100.78433998699984,2,106.7685192959998,100.78433998699984,0.5574283469995862,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
walrus,0,7,7,25,,,,,,,,,,,,,112.7686175660001,111.76864311100144,111.76864311100144,112.7686175660001,117.76857076600027,111.76864311100144,1,117.76857076600027,111.76864311100144,0.715245479999794,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
necklace,0,8,8,12,,,,,,,,,,,,,123.751818662,122.76911323000058,122.76911323000058,123.76823421000154,128.75228126399998,122.76911323000058,2,128.75228126399998,122.76911323000058,0.9106174259995896,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
knight,0,9,9,38,,,,,,,,,,,,,134.73471514800076,133.75143979800123,133.75143979800123,134.75156810200133,139.7347715699998,133.75143979800123,1,139.7347715699998,133.75143979800123,1.3669975800003158,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
ketchup,0,10,10,2,,,,,,,,,,,,,145.71899099800066,144.7349985360015,144.7349985360015,145.73604314600016,150.71898592900106,144.7349985360015,2,150.71898592900106,144.7349985360015,1.3579293650000182,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
cabdriver,0,11,11,36,,,,,,,,,,,,,156.7023747410003,155.7188628590011,155.7188628590011,156.71911260300112,161.70240826700137,155.7188628590011,1,161.70240826700137,155.7188628590011,2.238497209000343,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
coyote,0,12,12,27,,,,,,,,,,,,,167.68566782700145,166.70157032300085,166.70157032300085,167.7024440690002,172.6856745840014,166.70157032300085,1,172.6856745840014,166.70157032300085,1.3892492619997938,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
cheerleader,0,13,13,32,,,,,,,,,,,,,178.66870231600114,177.68554592100008,177.68554592100008,178.68569827800093,183.66871078999975,177.68554592100008,1,183.66871078999975,177.68554592100008,0.7520691600002465,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
microscope,0,14,14,6,,,,,,,,,,,,,189.6520114290015,199.6517227990007,188.66893234300005,189.66851101800057,194.66500020400053,188.66893234300005,2,194.66500020400053,188.66893234300005,0.7167483649991482,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
keyboard,0,15,15,15,,,,,,,,,,,,,200.65153685600126,None,199.6684856920001,200.66852148700127,205.66460820300017,199.6684856920001,2,205.66460820300017,199.6684856920001,1.4593392659990059,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
hair,0,16,16,8,,,,,,,,,,,,,211.64789665600074,210.66457748200082,210.66457748200082,211.6646905460002,216.64788899800078,210.66457748200082,2,216.64788899800078,210.66457748200082,2.989024139000321,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
waterfall,0,17,17,18,,,,,,,,,,,,,222.63113954599976,221.64796571199986,221.64796571199986,222.64705921800123,227.63119800700042,221.64796571199986,2,227.63119800700042,221.64796571199986,0.9316200350003783,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
donkey,0,18,18,23,,,,,,,,,,,,,233.61939577900011,232.6305435760005,232.6305435760005,233.6360139469998,238.61938723100138,232.6305435760005,1,238.61938723100138,232.6305435760005,1.099528361000921,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
leopard,0,19,19,24,,,,,,,,,,,,,244.63085749200036,243.63083009399998,243.63083009399998,244.64766827300082,249.61880200400083,254.61888431100124,1,249.61880200400083,254.61888431100124,1.1811167190007836,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
binoculars,0,20,20,1,,,,,,,,,,,,,255.6309026350009,254.6359438690015,254.6359438690015,255.6473014889998,260.6305350450002,None,2,260.6305350450002,None,2.211234901998978,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
bulldozer,0,21,21,17,,,,,,,,,,,,,266.63029102900146,276.6298097830004,265.63555671799986,266.6472989080012,271.6473627680007,265.63555671799986,2,271.6473627680007,265.63555671799986,2.127613343000121,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
ladybug,0,22,22,30,,,,,,,,,,,,,277.6366813700006,None,276.646792259,277.6637890380007,282.63017504100026,287.6359828069999,1,282.63017504100026,287.6359828069999,2.4197342799998296,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
seahorse,0,23,23,33,,,,,,,,,,,,,288.6351716370009,287.65265311000076,287.65265311000076,288.65280264500143,293.6360288960004,None,1,293.6360288960004,None,4.266765212998507,,,subj019,001,2022_Nov_07_1043,item,3.2.3,60.01652482944577,
