Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,5.677853256998787,None,1,0.5409195550018921,5.677853256998787,None,,,,,,,,,,,,,,,,,,,subj019,001,2022_Nov_08_1123,item_20(VR),3.2.3,60.11159176022801,
,,,,,,,,,,,6.239859097997396,None,5,18.01104845699956,6.239859097997396,None,,,,,,,,,,,,,subj019,001,2022_Nov_08_1123,item_20(VR),3.2.3,60.11159176022801,
hummingbird,0,0,0,5,,,,,,,,,,,,,25.27447266099989,None,24.272548031000042,25.27447266099989,30.257008243999735,35.25766566099992,1,1.304871598000318,30.257008243999735,35.25766566099992,,,subj019,001,2022_Nov_08_1123,item_20(VR),3.2.3,60.11159176022801,
porcupine,0,1,1,13,,,,,,,,,,,,,36.27301535299921,None,35.27399418499772,36.27301535299921,41.257503488999646,46.25765106499966,1,0.6013143819982361,41.257503488999646,46.25765106499966,,,subj019,001,2022_Nov_08_1123,item_20(VR),3.2.3,60.11159176022801,
cheerleader,0,2,2,12,,,,,,,,,,,,,47.26165250700069,None,46.27435062499717,47.27440074599872,52.26162030299747,57.2574604750007,1,0.7842877120019693,52.26162030299747,57.2574604750007,,,subj019,001,2022_Nov_08_1123,item_20(VR),3.2.3,60.11159176022801,
ketchup,0,3,3,15,,,,,,,,,,,,,58.257707730997936,None,57.27350482399925,58.27849456799959,63.25750578499719,None,2,0.49638005700035137,63.25750578499719,None,,,subj019,001,2022_Nov_08_1123,item_20(VR),3.2.3,60.11159176022801,
axe,0,4,4,6,,,,,,,,,,,,,69.2410625550001,68.26096046399834,68.26096046399834,69.27376236000055,74.24119728499863,68.26096046399834,2,0.6736811320006382,74.24119728499863,68.26096046399834,,,subj019,001,2022_Nov_08_1123,item_20(VR),3.2.3,60.11159176022801,
mirror,0,5,5,11,,,,,,,,,,,,,80.22439450499951,79.24413149099928,79.24413149099928,80.25759842600019,85.22455205900042,79.24413149099928,2,0.4223201960012375,85.22455205900042,79.24413149099928,,,subj019,001,2022_Nov_08_1123,item_20(VR),3.2.3,60.11159176022801,
treadmill,0,6,6,17,,,,,,,,,,,,,91.20774717899985,101.20712055499826,90.22458565899797,91.22456470699763,96.21106447800048,90.22458565899797,2,0.7208008449997578,96.21106447800048,90.22458565899797,,,subj019,001,2022_Nov_08_1123,item_20(VR),3.2.3,60.11159176022801,
microscope,0,7,7,1,,,,,,,,,,,,,102.20708096700037,None,101.22391391899873,102.22382068099978,107.20788463799909,101.22391391899873,2,4.389031990998774,107.20788463799909,101.22391391899873,,,subj019,001,2022_Nov_08_1123,item_20(VR),3.2.3,60.11159176022801,
passport,0,8,8,16,,,,,,,,,,,,,113.19131747799838,112.2074779229988,112.2074779229988,113.20767287799754,118.19124853299945,112.2074779229988,2,0.6145332109990704,118.19124853299945,112.2074779229988,,,subj019,001,2022_Nov_08_1123,item_20(VR),3.2.3,60.11159176022801,
hair,0,9,9,9,,,,,,,,,,,,,124.17387351899742,123.19053358299789,123.19053358299789,124.19099181899946,129.17387290999977,123.19053358299789,None,,129.17387290999977,123.19053358299789,,,subj019,001,2022_Nov_08_1123,item_20(VR),3.2.3,60.11159176022801,
ladybug,0,10,10,10,,,,,,,,,,,,,135.15721268999914,134.1736790169998,134.1736790169998,135.17425296799775,140.15723343100035,134.1736790169998,None,,140.15723343100035,134.1736790169998,,,subj019,001,2022_Nov_08_1123,item_20(VR),3.2.3,60.11159176022801,
