Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,6.500768066995079,None,1,10.791710110992426,6.500768066995079,None,,,,,,,,,,,,,,,,,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
,,,,,,,,,,,17.31994652899448,None,5,19.076749474013923,17.31994652899448,None,,,,,,,,,,,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
elephant,0,0,0,21,,,,,,,,,,,,,37.42126450300566,None,36.43660090400954,37.438090845011175,42.420203435001895,None,None,42.420203435001895,None,,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
axe,0,1,1,0,,,,,,,,,,,,,48.404173735005315,47.42037726100534,47.42037726100534,48.42032979000942,53.40432866298943,47.42037726100534,None,53.40432866298943,47.42037726100534,,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
snowball,0,2,2,14,,,,,,,,,,,,,59.40402213699417,58.403666288009845,58.403666288009845,59.40402213699417,64.40000074799173,69.39996704799705,2,64.40000074799173,69.39996704799705,0.2806657990149688,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
crab,0,3,3,31,,,,,,,,,,,,,70.40028863601037,69.41588701700675,69.41588701700675,70.417068507988,75.39892815198982,None,1,75.39892815198982,None,0.5046910530072637,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
treadmill,0,4,4,16,,,,,,,,,,,,,81.39891191601055,80.39995584401186,80.39995584401186,81.39891191601055,86.3882996510074,91.39966979500605,2,86.3882996510074,91.39966979500605,0.28019629599293694,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
waterfall,0,5,5,18,,,,,,,,,,,,,92.40493226700346,91.41641552798683,91.41641552798683,92.42158388099051,97.3999873129942,102.39878809999209,1,97.3999873129942,102.39878809999209,0.4646600120177027,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
cabdriver,0,6,6,36,,,,,,,,,,,,,103.39994461101014,113.39966856199317,102.41532290700707,103.40428938801051,108.4042437110038,None,1,108.4042437110038,None,0.6514164080144837,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
donkey,0,7,7,23,,,,,,,,,,,,,114.40438957200968,None,113.41623981800512,114.42045781499473,119.39957985299407,113.41623981800512,1,119.39957985299407,113.41623981800512,0.6028636910195928,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
porcupine,0,8,8,22,,,,,,,,,,,,,125.38771431599162,135.39805309698568,124.40435332799098,125.40488832601113,130.39979709099862,124.40435332799098,1,130.39979709099862,124.40435332799098,1.0928211449936498,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
binoculars,0,9,9,1,,,,,,,,,,,,,136.4161382149905,None,135.41482682700735,136.4161382149905,141.3979856109945,146.39942606099066,2,141.3979856109945,146.39942606099066,0.31851252500200644,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
grandfather,0,10,10,34,,,,,,,,,,,,,147.39804643398384,146.4161939859914,146.4161939859914,147.4207597700006,152.40483669098467,None,1,152.40483669098467,None,0.8218265319883358,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
platypus,0,11,11,35,,,,,,,,,,,,,158.38814638898475,157.40489676300786,157.40489676300786,158.40558950099512,163.38823172901175,157.40489676300786,1,163.38823172901175,157.40489676300786,0.8783902360009961,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
umbrella,0,12,12,5,,,,,,,,,,,,,169.382288977009,168.38825322699267,168.38825322699267,169.3878120360023,174.37154222500976,179.38259313401068,2,174.37154222500976,179.38259313401068,0.5080663459957577,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
cheerleader,0,13,13,32,,,,,,,,,,,,,180.39744866799447,179.3985653280106,179.3985653280106,180.39744866799447,185.38853789999848,None,1,185.38853789999848,None,0.3330963350017555,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
fingerprint,0,14,14,11,,,,,,,,,,,,,191.37076117200195,201.3821346469922,190.39857589500025,191.41570007399423,196.387833115994,190.39857589500025,2,196.387833115994,190.39857589500025,0.6337999129900709,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
stove,0,15,15,13,,,,,,,,,,,,,202.39879704799387,None,201.39755113300635,202.4152812109969,207.38839769701008,212.39853874000255,2,207.38839769701008,212.39853874000255,0.41423269599908963,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
knight,0,16,16,38,,,,,,,,,,,,,213.4052915420034,212.4153042389953,212.4153042389953,213.4313427550078,218.40498525099247,None,1,218.40498525099247,None,0.744635618000757,,,subj023,001,2023_Feb_21_1659,item,3.2.3,59.96073555462373,
