Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,6.084889910009224,None,1,2.1344313329900615,6.084889910009224,None,,,,,,,,,,,,,,,,,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
,,,,,,,,,,,8.248126232996583,None,5,18.669250181003008,8.248126232996583,None,,,,,,,,,,,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
ladybug,0,0,0,10,,,,,,,,,,,,,27.948227534012403,None,26.965999161999207,27.981852234021062,32.948363519011764,None,None,32.948363519011764,None,,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
ketchup,0,1,1,15,,,,,,,,,,,,,38.93548433401156,37.949082984006964,37.949082984006964,38.94844267499866,43.93213459601975,48.93565157201374,2,43.93213459601975,48.93565157201374,0.3103457049874123,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
microscope,0,2,2,1,,,,,,,,,,,,,49.948646347009344,None,48.94816698500654,49.948646347009344,54.951985202002106,None,2,54.951985202002106,None,0.2504456620081328,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
hair,0,3,3,9,,,,,,,,,,,,,60.94807904900517,None,59.95112223899923,60.96515125001315,65.93208049001987,70.93172904799576,2,65.93208049001987,70.93172904799576,0.17637358399224468,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
leopard,0,4,4,0,,,,,,,,,,,,,71.93257977301255,70.94935242302017,70.94935242302017,71.94847633200698,76.93180142101482,None,None,76.93180142101482,None,,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
chipmunk,0,5,5,18,,,,,,,,,,,,,82.91579037101474,81.93270857000607,81.93270857000607,82.93186766500003,87.91516631000559,81.93270857000607,1,87.91516631000559,81.93270857000607,0.26820409900392406,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
mirror,0,6,6,11,,,,,,,,,,,,,93.89911218400812,92.91594537900528,92.91594537900528,93.91606100799982,98.89837705701939,92.91594537900528,2,98.89837705701939,92.91594537900528,0.3620768199907616,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
hummingbird,0,7,7,5,,,,,,,,,,,,,104.88257090200204,103.89834072699887,103.89834072699887,104.89937722499599,109.88275358002284,103.89834072699887,1,109.88275358002284,103.89834072699887,0.47473277398967184,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
porcupine,0,8,8,13,,,,,,,,,,,,,115.86596750101307,114.88188781100325,114.88188781100325,115.88277539701085,120.86511789201177,114.88188781100325,None,120.86511789201177,114.88188781100325,,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
treadmill,0,9,9,17,,,,,,,,,,,,,126.84927738099941,125.8652416029945,125.8652416029945,126.8660577860137,131.8485742060002,125.8652416029945,2,131.8485742060002,125.8652416029945,0.33381466698483564,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
knight,0,10,10,4,,,,,,,,,,,,,137.83261038002092,136.8486233559961,136.8486233559961,137.8492897610122,142.83188887199503,136.8486233559961,1,142.83188887199503,136.8486233559961,0.5725816019985359,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
cheerleader,0,11,11,12,,,,,,,,,,,,,148.8158523630118,147.8319154890196,147.8319154890196,148.83198030199856,153.81603707600152,147.8319154890196,1,153.81603707600152,147.8319154890196,0.7173178560042288,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
waterfall,0,12,12,2,,,,,,,,,,,,,159.7993271590094,158.8156550010026,158.8156550010026,159.81619818002218,164.79946787300287,158.8156550010026,1,164.79946787300287,158.8156550010026,0.5508951839874499,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
grandfather,0,13,13,7,,,,,,,,,,,,,170.78264316701097,169.79871861901483,169.79871861901483,170.798768483015,175.78190139500657,169.79871861901483,1,175.78190139500657,169.79871861901483,0.33162246202118695,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
axe,0,14,14,6,,,,,,,,,,,,,181.76598774202284,180.78280427400023,180.78280427400023,181.78205461401376,186.76524602802237,180.78280427400023,2,186.76524602802237,180.78280427400023,0.6171324180031661,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
snowball,0,15,15,19,,,,,,,,,,,,,192.7651451349957,191.7651844130014,191.7651844130014,192.7826035869948,197.74943618100951,202.74953675101278,2,197.74943618100951,202.74953675101278,0.6450117380009033,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
passport,0,16,16,16,,,,,,,,,,,,,203.74877600499894,202.7651906220126,202.7651906220126,203.76633893800317,208.74885004002135,None,2,208.74885004002135,None,0.8916363389871549,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
necklace,0,17,17,3,,,,,,,,,,,,,214.73290766900755,213.74891670700163,213.74891670700163,214.74939718699898,219.73212629000773,213.74891670700163,2,219.73212629000773,213.74891670700163,0.38224485097453,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
baby,0,18,18,14,,,,,,,,,,,,,225.71534528202028,224.73216753901215,224.73216753901215,225.73304501001257,230.71631666002213,224.73216753901215,1,230.71631666002213,224.73216753901215,0.308136806008406,,,subj023,001,2023_Feb_22_1713,item_20(VR),3.2.3,59.740756667139074,
