Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,6.1600630579923745,None,1,11.39592253198498,6.1600630579923745,None,,,,,,,,,,,,,,,,,,,subj024,001,2023_Feb_22_1021,item_20(VR),3.2.3,59.88521178988627,
,,,,,,,,,,,17.577315533999354,None,5,16.997782121005002,17.577315533999354,None,,,,,,,,,,,,,subj024,001,2023_Feb_22_1021,item_20(VR),3.2.3,59.88521178988627,
hair,0,0,0,9,,,,,,,,,,,,,35.58919976800098,None,34.60550405201502,35.606010001996765,40.589292879012646,None,2,0.8337134439789224,40.589292879012646,None,,,subj024,001,2023_Feb_22_1021,item_20(VR),3.2.3,59.88521178988627,
chipmunk,0,1,1,18,,,,,,,,,,,,,46.589356437994866,45.58785408799304,45.58785408799304,46.589356437994866,51.58864109800197,45.58785408799304,1,0.3425120130123105,51.58864109800197,45.58785408799304,,,subj024,001,2023_Feb_22_1021,item_20(VR),3.2.3,59.88521178988627,
axe,0,2,2,6,,,,,,,,,,,,,57.57270613199216,56.589511486992706,56.589511486992706,57.58951444999548,62.5778195830062,56.589511486992706,2,0.47232894101762213,62.5778195830062,56.589511486992706,,,subj024,001,2023_Feb_22_1021,item_20(VR),3.2.3,59.88521178988627,
hummingbird,0,3,3,5,,,,,,,,,,,,,68.57701833100873,67.57660744601162,67.57660744601162,68.57701833100873,73.57254893399659,67.57660744601162,1,0.5524371700012125,73.57254893399659,67.57660744601162,,,subj024,001,2023_Feb_22_1021,item_20(VR),3.2.3,59.88521178988627,
ketchup,0,4,4,15,,,,,,,,,,,,,79.57636877900222,78.57733302999986,78.57733302999986,79.59435034901253,84.57684399798745,78.57733302999986,2,0.7182891699776519,84.57684399798745,78.57733302999986,,,subj024,001,2023_Feb_22_1021,item_20(VR),3.2.3,59.88521178988627,
grandfather,0,5,5,7,,,,,,,,,,,,,90.55596702499315,89.57206350800698,89.57206350800698,90.57694246500614,95.55995454199729,89.57206350800698,1,0.8130338710034266,95.55995454199729,89.57206350800698,,,subj024,001,2023_Feb_22_1021,item_20(VR),3.2.3,59.88521178988627,
passport,0,6,6,16,,,,,,,,,,,,,101.55607685798896,100.55995697001345,100.55995697001345,101.57724658199004,106.55538331001299,100.55995697001345,2,0.9537524490151554,106.55538331001299,100.55995697001345,,,subj024,001,2023_Feb_22_1021,item_20(VR),3.2.3,59.88521178988627,
microscope,0,7,7,1,,,,,,,,,,,,,112.53948019401287,111.55545314200572,111.55545314200572,112.5561425719934,117.5395653170126,111.55545314200572,2,0.561570969002787,117.5395653170126,111.55545314200572,,,subj024,001,2023_Feb_22_1021,item_20(VR),3.2.3,59.88521178988627,
