Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,8.061119373014662,None,1,1.4086649960081559,8.061119373014662,None,,,,,,,,,,,,,,,,,,,subj026,001,2023_Feb_18_1345,item,3.2.3,59.97988478598945,
,,,,,,,,,,,9.494034025003202,None,5,17.595963378000306,9.494034025003202,None,,,,,,,,,,,,,subj026,001,2023_Feb_18_1345,item,3.2.3,59.97988478598945,
scalpel,0,0,0,19,,,,,,,,,,,,,28.10546278001857,None,27.11169214101392,28.112840728019364,33.09491849501501,38.10526200500317,2,1.436084144981578,33.09491849501501,38.10526200500317,,,subj026,001,2023_Feb_18_1345,item,3.2.3,59.97988478598945,
waterfall,0,1,1,18,,,,,,,,,,,,,39.11134167702403,None,38.12128881001263,39.129236505017616,44.121681130025536,None,2,2.6693012729811016,44.121681130025536,None,,,subj026,001,2023_Feb_18_1345,item,3.2.3,59.97988478598945,
elephant,0,2,2,21,,,,,,,,,,,,,50.094688420998864,60.104646454012254,49.11228812701302,50.112456544011366,55.10494120500516,None,1,0.9620421820145566,55.10494120500516,None,,,subj026,001,2023_Feb_18_1345,item,3.2.3,59.97988478598945,
fingerprint,0,3,3,11,,,,,,,,,,,,,61.11269065900706,None,60.12108330702176,61.129116863012314,66.10430673000519,None,2,1.462653603986837,66.10430673000519,None,,,subj026,001,2023_Feb_18_1345,item,3.2.3,59.97988478598945,
chipmunk,0,4,4,26,,,,,,,,,,,,,72.1044357320061,None,71.11222948000068,72.11142928502522,77.095683861,82.09585192499799,1,2.8623081230034586,77.095683861,82.09585192499799,,,subj026,001,2023_Feb_18_1345,item,3.2.3,59.97988478598945,
cheesecake,0,5,5,7,,,,,,,,,,,,,83.09581908999826,93.10460320301354,82.12151393500972,83.13789959001588,88.10469581000507,None,2,1.0652072730008513,88.10469581000507,None,,,subj026,001,2023_Feb_18_1345,item,3.2.3,59.97988478598945,
porcupine,0,6,6,22,,,,,,,,,,,,,94.09541917601018,None,93.12085537900566,94.12918021299993,99.09577881600126,None,1,1.1902551510138437,99.09577881600126,None,,,subj026,001,2023_Feb_18_1345,item,3.2.3,59.97988478598945,
stove,0,7,7,13,,,,,,,,,,,,,105.07883908401709,115.08762399901752,104.10418752601254,105.1114839700167,110.10437465499854,104.10418752601254,2,1.2445810140052345,110.10437465499854,104.10418752601254,,,subj026,001,2023_Feb_18_1345,item,3.2.3,59.97988478598945,
umbrella,0,8,8,5,,,,,,,,,,,,,116.08765680601937,126.08763295301469,115.10377444702317,116.09559578201151,121.09587733101216,115.10377444702317,2,0.9329830099886749,121.09587733101216,115.10377444702317,,,subj026,001,2023_Feb_18_1345,item,3.2.3,59.97988478598945,
knight,0,9,9,38,,,,,,,,,,,,,127.08727590402123,None,126.10386018702411,127.10409640401485,132.09494677602197,126.10386018702411,1,2.162022190022981,132.09494677602197,126.10386018702411,,,subj026,001,2023_Feb_18_1345,item,3.2.3,59.97988478598945,
