Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,9.772528633999173,None,1,17.615513037999335,9.772528633999173,None,,,,,,,,,,,,,,,,,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
,,,,,,,,,,,27.407166971999686,None,5,55.01884105699719,27.407166971999686,None,,,,,,,,,,,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
bulldozer,0,0,0,17,,,,,,,,,,,,,83.45700785199733,None,82.47305283499736,83.473968074999,88.45648501599499,None,2,1.549689830004354,88.45648501599499,None,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
axe,0,1,1,0,,,,,,,,,,,,,94.44048486500105,93.45736557799682,93.45736557799682,94.46151794499747,99.44470792399807,93.45736557799682,2,0.9803198120062007,99.44470792399807,93.45736557799682,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
seahorse,0,2,2,33,,,,,,,,,,,,,105.42383372999757,104.43989738199889,104.43989738199889,105.44477570199524,110.42394713399699,104.43989738199889,1,3.2820711560052587,110.42394713399699,104.43989738199889,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
stove,0,3,3,13,,,,,,,,,,,,,116.4071913910011,115.42320241099515,115.42320241099515,116.42313480199664,121.40727206299925,115.42320241099515,2,1.3759024030005094,121.40727206299925,115.42320241099515,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
passport,0,4,4,4,,,,,,,,,,,,,127.40743394599849,126.40743320299953,126.40743320299953,127.40743394599849,132.3906555680005,137.39076233899686,2,1.1314206300012302,132.3906555680005,137.39076233899686,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
cabdriver,0,5,5,36,,,,,,,,,,,,,138.3937987679965,137.41010040499532,137.41010040499532,138.41060590499546,143.3938906330004,None,1,0.973266982997302,143.3938906330004,None,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
cheesecake,0,6,6,7,,,,,,,,,,,,,149.39385753699753,148.40721961899544,148.40721961899544,149.41043780600012,154.39014737300022,159.39054089799902,2,0.8540209630009485,154.39014737300022,159.39054089799902,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
ladybug,0,7,7,30,,,,,,,,,,,,,160.3905861059975,159.40713230599795,159.40713230599795,160.40738981100003,165.39068740199582,None,1,0.9774744040041696,165.39068740199582,None,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
platypus,0,8,8,35,,,,,,,,,,,,,171.37398802200187,170.3899481549961,170.3899481549961,171.39080783900135,176.374036109999,170.3899481549961,1,0.8840320150047773,176.374036109999,170.3899481549961,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
coyote,0,9,9,27,,,,,,,,,,,,,182.35735494999972,181.37404656099534,181.37404656099534,182.37335453800188,187.3566296029967,181.37404656099534,1,0.9385230089974357,187.3566296029967,181.37404656099534,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
baby,0,10,10,20,,,,,,,,,,,,,193.34051531399746,192.35668063200137,192.35668063200137,193.35669060999498,198.33997205799824,192.35668063200137,1,0.7551813079990097,198.33997205799824,192.35668063200137,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
scalpel,0,11,11,19,,,,,,,,,,,,,204.3238583919956,203.34002599299856,203.34002599299856,204.34002561299712,209.324084494001,203.34002599299856,2,1.8659320100050536,209.324084494001,203.34002599299856,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
knight,0,12,12,38,,,,,,,,,,,,,215.30736342399905,214.32333798799664,214.32333798799664,215.32419510000182,220.3065211619978,214.32333798799664,1,0.7736976590022095,220.3065211619978,214.32333798799664,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
mirror,0,13,13,10,,,,,,,,,,,,,226.29069857899594,225.307480286996,225.307480286996,226.30674925299536,231.29001122399495,225.307480286996,2,1.334030835001613,231.29001122399495,225.307480286996,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
chipmunk,0,14,14,26,,,,,,,,,,,,,237.27345995799988,236.2906066889991,236.2906066889991,237.28993855800218,242.2737640580017,236.2906066889991,1,1.1903926679951837,242.2737640580017,236.2906066889991,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
leopard,0,15,15,24,,,,,,,,,,,,,248.25687526600086,247.27424769799836,247.27424769799836,248.28984696800035,253.2574760110001,247.27424769799836,1,0.7776896540017333,253.2574760110001,247.27424769799836,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
snowball,0,16,16,14,,,,,,,,,,,,,259.2575994709987,258.2572164189987,258.2572164189987,259.2575994709987,264.2574980749996,258.2572164189987,2,1.2786868369948934,264.2574980749996,258.2572164189987,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
walrus,0,17,17,25,,,,,,,,,,,,,270.24090958399756,269.2566116859962,269.2566116859962,270.2576144830018,275.2401904529979,269.2566116859962,1,0.6889499280005111,275.2401904529979,269.2566116859962,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
microscope,0,18,18,6,,,,,,,,,,,,,281.22411057599675,280.2408617559995,280.2408617559995,281.24107728200033,286.2241901140005,280.2408617559995,2,3.0389786300002015,286.2241901140005,280.2408617559995,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
hummingbird,0,19,19,28,,,,,,,,,,,,,292.22389864399884,291.22332274999644,291.22332274999644,292.22389864399884,297.224038139997,291.22332274999644,1,1.9261343380057951,297.224038139997,291.22332274999644,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
binoculars,0,20,20,1,,,,,,,,,,,,,303.2069760719969,302.22377076499833,302.22377076499833,303.2238288820008,308.2070972579968,302.22377076499833,2,1.0529843050026102,308.2070972579968,302.22377076499833,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
camera,0,21,21,3,,,,,,,,,,,,,314.1911537199994,313.20735423600127,313.20735423600127,314.2071088750017,319.190594503998,313.20735423600127,2,0.9834928150012274,319.190594503998,313.20735423600127,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
crab,0,22,22,31,,,,,,,,,,,,,325.1738988270008,324.19032182700175,324.19032182700175,325.1905120849988,330.1743724629996,324.19032182700175,1,1.3676631019989145,330.1743724629996,324.19032182700175,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
necklace,0,23,23,12,,,,,,,,,,,,,336.15788584999973,335.1737469459986,335.1737469459986,336.1741875449952,341.1569926929951,335.1737469459986,2,0.4490985740048927,341.1569926929951,335.1737469459986,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
waterfall,0,24,24,18,,,,,,,,,,,,,347.140399265998,346.1567959219974,346.1567959219974,347.15755804999935,352.1412244189996,346.1567959219974,1,0.6998301830026321,352.1412244189996,346.1567959219974,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
umbrella,0,25,25,5,,,,,,,,,,,,,358.12368800299737,357.1397580990015,357.1397580990015,358.140933951996,363.1246769569989,357.1397580990015,2,0.7013569379996625,363.1246769569989,357.1397580990015,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
keyboard,0,26,26,15,,,,,,,,,,,,,369.10806702399714,368.12317257099494,368.12317257099494,369.12428031799936,374.1071310779953,368.12317257099494,2,2.0349293550025322,374.1071310779953,368.12317257099494,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
violinist,0,27,27,39,,,,,,,,,,,,,380.09122456800105,379.1078864039955,379.1078864039955,380.1080099649989,385.09128112899634,379.1078864039955,1,1.2177651889942354,385.09128112899634,379.1078864039955,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
treadmill,0,28,28,16,,,,,,,,,,,,,391.07462900300015,390.09076346000074,390.09076346000074,391.0914031959983,396.0746302490006,390.09076346000074,2,1.2865151010046247,396.0746302490006,390.09076346000074,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
hair,0,29,29,8,,,,,,,,,,,,,402.0570406670013,401.07393385199975,401.07393385199975,402.07396981200145,407.0574441389981,401.07393385199975,2,1.50157796300482,407.0574441389981,401.07393385199975,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
swan,0,30,30,29,,,,,,,,,,,,,413.0413700299978,412.0572965309984,412.0572965309984,413.05735576200095,418.0405924949955,412.0572965309984,1,1.1925906890028273,418.0405924949955,412.0572965309984,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
elephant,0,31,31,21,,,,,,,,,,,,,424.0239446790001,423.0403573099975,423.0403573099975,424.0407364040002,429.0238630649983,423.0403573099975,1,0.7933455390011659,429.0238630649983,423.0403573099975,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
airplane,0,32,32,9,,,,,,,,,,,,,435.00720845499745,434.0239806460013,434.0239806460013,435.0239813099979,440.0064779249951,434.0239806460013,2,1.5146795010005007,440.0064779249951,434.0239806460013,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
cheerleader,0,33,33,32,,,,,,,,,,,,,445.990470069999,455.99041840899736,445.006546781995,446.0065319439964,451.02347922899935,445.006546781995,1,1.215600944997277,451.02347922899935,445.006546781995,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
fingerprint,0,34,34,11,,,,,,,,,,,,,457.0066975410009,None,456.0234457629995,457.0235318939958,462.0067997149963,456.0234457629995,2,2.049230026997975,462.0067997149963,456.0234457629995,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
ketchup,0,35,35,2,,,,,,,,,,,,,467.9900322879985,467.00689540700114,467.00689540700114,468.00684559399815,472.99014638699737,467.00689540700114,2,1.12002737900184,472.99014638699737,467.00689540700114,,,subj027_031823,001,2023_Mar_18_1426,item,3.2.3,59.93453159276697,
