Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,7.727846407011384,None,1,1.6658531940192915,7.727846407011384,None,,,,,,,,,,,,,,,,,,,subj027,001,2023_Apr_01_1404,item,3.2.3,60.09328966964799,
,,,,,,,,,,,9.410702285007574,None,5,17.00615851400653,9.410702285007574,None,,,,,,,,,,,,,subj027,001,2023_Apr_01_1404,item,3.2.3,60.09328966964799,
knight,0,0,0,38,,,,,,,,,,,,,27.445544237998547,None,26.461528490006458,27.462343093007803,32.44458060298348,None,None,32.44458060298348,None,,,,subj027,001,2023_Apr_01_1404,item,3.2.3,60.09328966964799,
chipmunk,0,1,1,26,,,,,,,,,,,,,38.445306826994056,37.444140207982855,37.444140207982855,38.445306826994056,43.44503251998685,37.444140207982855,None,43.44503251998685,37.444140207982855,,,,subj027,001,2023_Apr_01_1404,item,3.2.3,60.09328966964799,
donkey,0,2,2,23,,,,,,,,,,,,,49.42822593799792,48.445127134007635,48.445127134007635,49.44533829001011,54.42850025399821,48.445127134007635,None,54.42850025399821,48.445127134007635,,,,subj027,001,2023_Apr_01_1404,item,3.2.3,60.09328966964799,
swan,0,3,3,29,,,,,,,,,,,,,60.411627360997954,59.427619638998294,59.427619638998294,60.42853114998434,65.4116950329917,59.427619638998294,None,65.4116950329917,59.427619638998294,,,,subj027,001,2023_Apr_01_1404,item,3.2.3,60.09328966964799,
bulldozer,0,4,4,17,,,,,,,,,,,,,71.41215287998784,70.4111131359823,70.4111131359823,71.41215287998784,76.41138797000167,81.41147854499286,None,76.41138797000167,81.41147854499286,,,,subj027,001,2023_Apr_01_1404,item,3.2.3,60.09328966964799,
fingerprint,0,5,5,11,,,,,,,,,,,,,82.41113226499874,81.42827776499325,81.42827776499325,82.42831444100011,87.41149442899041,None,None,87.41149442899041,None,,,,subj027,001,2023_Apr_01_1404,item,3.2.3,60.09328966964799,
ladybug,0,6,6,30,,,,,,,,,,,,,93.39448793701013,92.41081593700801,92.41081593700801,93.41079887098749,98.39410695200786,92.41081593700801,None,98.39410695200786,92.41081593700801,,,,subj027,001,2023_Apr_01_1404,item,3.2.3,60.09328966964799,
coyote,0,7,7,27,,,,,,,,,,,,,104.37794899998698,103.39478251899709,103.39478251899709,104.39414566601044,109.3778750670026,103.39478251899709,None,109.3778750670026,103.39478251899709,,,,subj027,001,2023_Apr_01_1404,item,3.2.3,60.09328966964799,
scalpel,0,8,8,19,,,,,,,,,,,,,115.36122505998355,114.37735971898655,114.37735971898655,115.37752107199049,120.36121166899102,114.37735971898655,None,120.36121166899102,114.37735971898655,,,,subj027,001,2023_Apr_01_1404,item,3.2.3,60.09328966964799,
leopard,0,9,9,24,,,,,,,,,,,,,126.34495898298337,136.34589094400872,125.36092400900088,126.36091978198965,131.34559175098548,125.36092400900088,None,131.34559175098548,125.36092400900088,,,,subj027,001,2023_Apr_01_1404,item,3.2.3,60.09328966964799,
porcupine,0,10,10,22,,,,,,,,,,,,,137.36096396500943,None,136.36115947499638,137.36096396500943,142.36103242798708,136.36115947499638,None,142.36103242798708,136.36115947499638,,,,subj027,001,2023_Apr_01_1404,item,3.2.3,60.09328966964799,
umbrella,0,11,11,5,,,,,,,,,,,,,148.345407744986,147.3608555769897,147.3608555769897,148.3623654319963,153.3455877790111,147.3608555769897,None,153.3455877790111,147.3608555769897,,,,subj027,001,2023_Apr_01_1404,item,3.2.3,60.09328966964799,
axe,0,12,12,0,,,,,,,,,,,,,159.32887561898679,158.34478050799225,158.34478050799225,159.3456137199828,164.32869156400557,158.34478050799225,None,164.32869156400557,158.34478050799225,,,,subj027,001,2023_Apr_01_1404,item,3.2.3,60.09328966964799,
keyboard,0,13,13,15,,,,,,,,,,,,,170.31195870001102,169.32808810498682,169.32808810498682,170.32871657700161,175.31199429699336,169.32808810498682,None,175.31199429699336,169.32808810498682,,,,subj027,001,2023_Apr_01_1404,item,3.2.3,60.09328966964799,
