Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,10.948036716989009,None,1,3.9825865190068725,10.948036716989009,None,,,,,,,,,,,,,,,,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
,,,,,,,,,,,14.94955158099765,None,5,16.475241956009995,14.94955158099765,None,,,,,,,,,,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
treadmill,0,0,0,17,,,,,,,,,,,,,32.45071462501073,None,31.465829664986813,32.467494854005054,37.45077058899915,None,None,37.45077058899915,None,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
waterfall,0,1,1,2,,,,,,,,,,,,,43.4341053669923,None,42.451198981987545,43.45105562900426,48.433998285996495,None,None,48.433998285996495,None,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
necklace,0,2,2,3,,,,,,,,,,,,,54.41728925501229,53.43433452601312,53.43433452601312,54.43352200300433,59.41728721599793,53.43433452601312,None,59.41728721599793,53.43433452601312,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
chipmunk,0,3,3,18,,,,,,,,,,,,,65.40167879901128,64.41766493499745,64.41766493499745,65.4185061600001,70.40121859600185,64.41766493499745,None,70.40121859600185,64.41766493499745,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
cheerleader,0,4,4,12,,,,,,,,,,,,,76.38487220800016,75.40024133201223,75.40024133201223,76.40138033399126,81.3845935970021,75.40024133201223,None,81.3845935970021,75.40024133201223,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
microscope,0,5,5,1,,,,,,,,,,,,,87.36809944998822,86.3843091460003,86.3843091460003,87.3845171960129,92.36783755201031,86.3843091460003,None,92.36783755201031,86.3843091460003,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
hummingbird,0,6,6,5,,,,,,,,,,,,,98.36789887401392,97.36669344699476,97.36669344699476,98.36789887401392,103.36790810001548,97.36669344699476,None,103.36790810001548,97.36669344699476,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
ladybug,0,7,7,10,,,,,,,,,,,,,109.35101165500237,119.35063691000687,108.36794101100531,109.36733400999219,114.3834635480016,108.36794101100531,None,114.3834635480016,108.36794101100531,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
