Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,8.618451960006496,None,1,1.601536128000589,8.618451960006496,None,,,,,,,,,,,,,,,,,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
,,,,,,,,,,,10.251130630000262,None,5,20.20504162600264,10.251130630000262,None,,,,,,,,,,,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
hair,0,0,0,9,,,,,,,,,,,,,31.486203323991504,None,30.48531578699476,31.486203323991504,36.48548640598892,None,2,1.315581689006649,36.48548640598892,None,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
treadmill,0,1,1,17,,,,,,,,,,,,,42.48564433501451,None,41.484820410987595,42.48564433501451,47.485698653996224,None,2,0.7925012659979984,47.485698653996224,None,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
ladybug,0,2,2,10,,,,,,,,,,,,,53.48604614599026,None,52.485096568008885,53.48604614599026,58.48539066998637,None,1,0.9797853019845206,58.48539066998637,None,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
ketchup,0,3,3,15,,,,,,,,,,,,,64.46951981200255,63.48568880799576,63.48568880799576,64.48552033500164,69.46876350301318,63.48568880799576,2,0.8314347550040111,69.46876350301318,63.48568880799576,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
knight,0,4,4,4,,,,,,,,,,,,,75.45287972400547,85.45226111999364,74.468879758002,75.4689167799952,80.45292493200395,74.468879758002,1,1.1001306530088186,80.45292493200395,74.468879758002,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
passport,0,5,5,16,,,,,,,,,,,,,86.45222368798568,None,85.46989273399231,86.48541456498788,91.4522405389871,85.46989273399231,2,0.6148266440141015,91.4522405389871,85.46989273399231,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
waterfall,0,6,6,2,,,,,,,,,,,,,97.43638530699536,96.45169100700878,96.45169100700878,97.45256140601123,102.43643166299444,96.45169100700878,2,1.2867016469826922,102.43643166299444,96.45169100700878,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
cabdriver,0,7,7,8,,,,,,,,,,,,,108.43610978199285,107.45283793201088,107.45283793201088,108.45288429700304,113.43573298701085,107.45283793201088,1,1.3374098959902767,113.43573298701085,107.45283793201088,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
snowball,0,8,8,19,,,,,,,,,,,,,119.41913669998758,118.43611242898623,118.43611242898623,119.43618615198648,124.41920664001373,118.43611242898623,2,0.9309376039891504,124.41920664001373,118.43611242898623,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
cheerleader,0,9,9,12,,,,,,,,,,,,,130.4027644979942,129.4188418959966,129.4188418959966,130.4186376509897,135.40286178598762,129.4188418959966,1,0.8103061339934357,135.40286178598762,129.4188418959966,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
necklace,0,10,10,3,,,,,,,,,,,,,141.3866265079996,140.40197660500417,140.40197660500417,141.40295461000642,146.38613789298688,140.40197660500417,2,2.178028821013868,146.38613789298688,140.40197660500417,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
leopard,0,11,11,0,,,,,,,,,,,,,152.3695560769993,151.386362285004,151.386362285004,152.38635874001193,157.36956562200794,151.386362285004,1,0.853578626003582,157.36956562200794,151.386362285004,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
baby,0,12,12,14,,,,,,,,,,,,,163.35283237000112,162.36962648000917,162.36962648000917,163.36928357600118,168.3529129679955,162.36962648000917,1,1.3831160079862457,168.3529129679955,162.36962648000917,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
hummingbird,0,13,13,5,,,,,,,,,,,,,174.35296464001294,173.35276102498756,173.35276102498756,174.35296464001294,179.336209488014,184.33593564099283,1,1.5678538839856628,179.336209488014,184.33593564099283,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
porcupine,0,14,14,13,,,,,,,,,,,,,185.33617048698943,184.35236694500782,184.35236694500782,185.35258919600165,190.3360471400083,None,1,0.6700907410122454,190.3360471400083,None,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
grandfather,0,15,15,7,,,,,,,,,,,,,196.31974611399346,195.33656780899037,195.33656780899037,196.33577971399063,201.3189400639967,195.33656780899037,1,1.6561817030014936,201.3189400639967,195.33656780899037,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
axe,0,16,16,6,,,,,,,,,,,,,207.30189462698763,206.31872146998649,206.31872146998649,207.3191297299927,212.3019397459866,206.31872146998649,2,1.2942201060068328,212.3019397459866,206.31872146998649,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
mirror,0,17,17,11,,,,,,,,,,,,,218.28525381800137,217.30203518801136,217.30203518801136,218.3023775430047,223.28566641098587,217.30203518801136,2,1.0693520590139087,223.28566641098587,217.30203518801136,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
microscope,0,18,18,1,,,,,,,,,,,,,229.26869431399973,228.2847516440088,228.2847516440088,229.2855047879857,234.26880015298957,228.2847516440088,2,1.5583809119998477,234.26880015298957,228.2847516440088,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
chipmunk,0,19,19,18,,,,,,,,,,,,,240.25196709801094,239.2688251780055,239.2688251780055,240.268825526,245.2520772079879,239.2688251780055,1,1.496092278015567,245.2520772079879,239.2688251780055,,,subj029,001,2023_Apr_16_1252,item_20(VR),3.2.3,60.216632710191675,
,,,,,,,,,,,,,,,,,,,,,,,,,,,250.25329460500507,None,,,,,,,
